cobh.annick.1	Ann Ni가 나타날 수 있습니다.
cobh.annick.18	(앤 니켈은 매우 화가 났을 수 있습니다.) <p/>정말로 유머 감각이 아닙니다. 그냥 장난하는거야? 이 자세에 대한 요구가 있습니다 ... </p>과거에 나는 ... 상어에게 먹이를주기 위해 바다에 던져 넣었습니다! </>피터에 대해 알고 싶습니다. 그렇지? 음, 벨파스트에는 그런 남자가있다. 그는 사업가입니다. 그러나, 나는 그에게 익숙하지 않다. 겨우 몇 번 만났고 우정은 없었습니다. <p/>그 사람이 아스가 가족을 도왔다 고 했습니까? 그게 잘못 아닌가? 거기 있니? 하하하! 세상에! 배꼽 웃음 파열.
cobh.annick.19	(애니는 아무런 생각없이 웃을 수 있었다.) 눈물이 짜내졌다. 죄송합니다. 죄송합니다. 다시 확인하겠다. 피터는 매우 친절한 사람이다. 그는 다른 사람들의 어려움을 이해할 수 없었고, 어려움이있을 때마다 도움을 줄 수 있었기 때문에 그는 가난한 아스카 가족을 도왔습니다. 하하하하 (앤 나이키의 웃음은 더욱 불쾌 해.) 내 위장, 웃음이 거의 죽는다. 나는 숨을 쉬고 ... <p/>(Anni는 잠깐 웃으면 서 숨을 깊게 쉬게 할 수 있습니다.) <p/>죄송합니다, 저는 실제로 그 사람이 아닙니다. 이해하다 내가 전에 말했듯이, 우리는 벨파스트로오고가는 길에 몇 번 만 닿았습니다. 베드로에 대해 알고 싶다면 Emmina Maca에 가서 부유 한 주민들에게 물어보십시오. <p/>그들이 피터와 장기간 거래를했다고합니다. 그리고 Aminmacia의 부유 한 사람들은 베드로에 관해 당신이 말한 것과 같이 매우 친절합니다, 하하!
cobh.annick.20	(Annine은 무언가를 생각하고, 손가락으로 생각하는 것 같습니다.) 그런데, Ascad에 대해 잘 알고 있고 그것을 그에게 줄 수 있습니까? <p/>기억할 수없는 사람이지만 이전 손님이 머물렀음을 기억합니다. 그것을 읽은 후에, 그것은 Aska에 보내는 편지 인 것 같습니다. <p/>Aska에게 내게 어색함이 있다면 ... <p/>이해하겠습니까? 나는 해적이었고, Aska는 한 번 ... 그것이 의미하는 바였습니다. <p/>할 일이 많습니다. 보내지 마십시오! 편지를 보내주십시오!
cobh.annick.21	<button title='회화' keyword='@talk'/><button title='거래' keyword='@shop'/>
cobh.annick.22	<button title='대화 끝내기' keyword='@end'/>
cobh.annick.23	내 동생에게 물어보고 싶은 모든 의심.
cobh.annick.24	환영합니다, 환영합니다! 가장 호화로운 호텔 카푸 항구가 있습니다! <BR/>
cobh.annick.25	<username/>, 맞습니까? 내 기억이 아주 좋다. <BR/>
cobh.annick.26	<username/>, 과도한 음주가 손상 될 수 있습니다. 오! <BR/>
cobh.annick.27	<username/>, 어떻게 다시 오시죠? 지루해, 다시 오지마. 농담이야, 응. 희망을 더 많이 가지고 장사 할. <BR/>
cobh.annick.28	언니를 못 보게 될거야? 하하하!
cobh.annick.29	죄송 합니다만 티켓 판매를 아직 시작하지 않았습니다. 잠시만, 털썩.
cobh.annick.30	<npcportrait name='NONE'/><title name='NONE'/>우리는 Annick과 대화를 마쳤습니다.
cobh.annick.31	언니, 나는 더 이상 해적이 아니며 형제도 아닙니다. 내 동생을 따라 가면 더 안타까울거야. 내가 뭐라 했어! 놀라지 마라, 아무 것도 듣지 마라.
cobh.annick.32	뭐라구? 나는 해상 기술 만 알고있다. 나는 너에게 기술이 없다는 것을 안다. 나는 틀린 것이 아니다. 맞지? 하하하, 여동생을 위해, 나는 사람들을 가르치는 경험이 없다.
cobh.annick.33	여기서 나가서 계속 걷고, 멀지 않은 곳에 요정 인종을 볼 수 있습니다. 식료품을 판매하는 곳.
cobh.annick.34	보트를 타고 최고의 열매를 가져옵니다. 그렇지 않으면 보트의 장기간에 신체적 인 불편이 생길 수 있습니다! 그러나, 여기에 아주 이상한 심지어 판매 과일없이. 해산물은 꽤 많습니다. 그 해산물 포장 마차가 과일 정육점이됩니다.
cobh.annick.35	부상 당했다고? 치료가 필요한 곳이 없으면 심각합니다. 서둘러 런던으로 가십시오.
cobh.annick.36	승무원이 홍콩으로 돌아온 후, 가장 먼저 이곳에 왔습니다! 여기 호텔이 아니라 호텔이 더 적절합니다. 그렇지 않습니까? <p/>어떻게? 내가 뭐라 잘못 했니?
cobh.annick.37	은행? 여기서 은행에 가지 말라고 권하고, 돈을 처음 입금하면 나는 멍청이가되어서는 안된다. 여기까지는 멀지 않다. 은행이있는 가슴에 그려진 간판이 보일 것입니다.
cobh.annick.38	사각 부두의 한가운데서 통통한 이모를 볼 수 있습니다! 매우 관대 한 물론 수리 기술은 나쁘지 않습니다! 하하!
cobh.annick.39	휴식 기술? 피곤하고 휴식을 부르는 노래, 또한 휴식 기술 아를 배웁니다!
cobh.annick.40	미안, 여동생, 나는 거의 활을 사용하지 않는다! 내가 선호하는 무기는 칼이며, 용감한 무기 만 사용합니다.
cobh.annick.41	미안, 여동생, 나는 거의 활을 사용하지 않는다! 내가 선호하는 무기는 칼이며, 용감한 무기 만 사용합니다.
cobh.annick.42	당신의 여동생처럼 바다에서 자란 사람들을 위해서, 그것들을 필요로하지 마십시오! 바다의 정신이 앞으로 나옵니다! 영향! 영향!
cobh.annick.43	여기에서 나가서 광장 앞에서 걷고있다. 왼쪽 방향에서 보트 부두를 볼 수 있습니다. 배가 될 수있는 한 당신이 앉고 싶다면 현재의 보트 또는 무료!
cobh.annick.44	여동생이 그 장소가 싫어, 하하하!
cobh.annick.45	아이 린 (藍 林)의 푸른 바다는 당신의 여동생입니다. 나는 실제로 자랐다!
cobh.annick.46	카푸 항구에서 최고의 요리사가 우리 앞에 서서 당신을 처음 범인으로 돌보는 지 아닌지에 관한 어리석은 질문을합니다. 비록 그것이 높은 수준의 식품 매장이지만,하지만 당신의 여동생 영양 요리와 사랑 음식 가득해야합니다! 아름다움 플러스 음식, 비교할 수없는, 그렇지 않습니까? 하하하하
cobh.annick.47	글쎄, 단단한 점만큼이나 편안하게 입고 갈 수 있겠지? 두 가지가있는 한 줄을 바꿀 수 있습니다.
cobh.annick.48	내 누이가 그렇게 괴롭다는 거 알지? 어떻게하면 레이디에게이 질문을 할 수 있습니까?
cobh.annick.49	바다에서 자란 여동생처럼 바다도 모든 것이고 삶의 요람 일뿐 아니라 죽음 이후의 묘지이기도합니다. 나는 평소보다 우울함을 느낍니다.
cobh.annick.50	낚시? 아 ~ 미안 해요. 언니는별로 지루하지 않습니다.
cobh.annick.51	바보, 멍청이, 바보 야 ... 나는 그렇게 스트레스를 받았지만 여전히 내 말을 듣지 않는다! 어빙, 그는 범인입니다! 내가 더 강해 져야한다면 나는 그를 가볍게 살리지 않을 것이다.
cobh.annick.52	바보, 멍청이, 바보 야 ... 나는 그렇게 스트레스를 받았지만 여전히 내 말을 듣지 않는다! 어빙, 그는 범인입니다! 내가 더 강해 져야한다면 나는 그를 가볍게 살리지 않을 것이다. <p/>(애니는 말하기를 멈추고 나를 바라 보았습니다.)
cobh.annick.53	그 멋진 밤이 정말로, 당신은 화염의 바다를 태우는 열기구를 본 적이 있습니까? 기회가 있다면 놓치지 마세요! 이것은 당신의 인생을 잊을 수 없을 것입니다! <p/>(슬픈 표정을 보여줍니다.)
cobh.annick.54	너는 다시 장난 치면 네가 네 인생을 후회할 것을 약속한다!
cobh.annick.55	네 여동생, 나는 또 다른 조치를 취할 수 없다. 너무 부당하다. 아.
cobh.annick.56	아무 일도 일어나지 않으면 빨리 가라. 네 언니는 아직도 바빠.
cobh.annick.57	모험 이야기를 듣고 싶습니까? 하하하하, 그 장소를 찾고 있습니다! 당신의 장녀님, 저는 그 해 벨파스트를 체포했습니다. 내가 제공 한 정보 덕분에 얼바인의 CEO는 벨파스트를 극복하기 위해 벌룬을 사용하는 전략을 상기시켰다.
cobh.annick.58	조용히! 나는 단지 당신에게 말한다. 일화적인 증거에 따르면, 오웬 주지사는 벨파스트를 큰 보물 창고에 침입 한 다음 그 보물을 비밀 금고에 고정 시켰습니다. 명성과 재산에 직면했을 때 사람들은 필연적으로 내면의 욕망을 억제 할 수 없을 것입니다. 사람들은 알려지지 않은 것을 모르고 있다는 것을 알고, 진실하다는 말이 있습니다.
cobh.annick.59	Maddock 녀석을 조심하십시오. 유덕 해 보이는 그를 보아라, 외형은 식욕을 갖지 않을 것이다. 사람들을 더 싸게 만드는 방법에 대해 항상 생각하고, 사람들을 구덩이하십시오. Irvine 주지사조차이 녀석에 의해 투구되었다는 소문이 있습니다.
cobh.annick.60	로니 봤니? 그녀는 언제나 어린 시절의 추억을 되 살릴 수 있습니다! 나는 꼬마 였어, 지금 로니가 아니야, 너는 그걸 믿지 않아, 하하하.
cobh.annick.61	서로를 무시하십시오.
cobh.annick.62	최근이 곳에는 특별한 것이 없었습니다.
cobh.annick.63	그런 종류의 일로, 당신은 등대 아래 앉아있는 노인 비서를 찾을 수 있습니다. 나는 당신 동생과 바쁜 사람입니다.
cobh.annick.64	뭐가있을 것인가? 며칠 전 Manorolin 녀석이 큰 녀석을 붙잡은 것을 들었습니다. 물론, 그것은 회색 고등어 상어가 아닐 것이다, 그렇지 않으면 오랫동안 통과되었다, 하아!
cobh.annick.65	하하하! 그거? 나는 분명히 명확하게 이해할 수 없다! <p/>(말하기를 일시 중지하고 생각을 입력합니다.) 오! 기억해. 다시 잊어 버려. 다음 번에 그것에 대해 생각해보십시오.
cobh.annick.66	오 .. 그거? 당연히 알았어. 잠깐만. 지금 바빠. 내가 바쁠 때까지 기다릴 수 있겠 니? 나중에 얘기하자. 알았지?
cobh.annick.67	아시다시피,이 남자는 당신에게 말할 수 없습니다!
cobh.annick.68	오, 물론 알겠습니다. 그러나 모를 수도 있습니다.
cobh.annick.69	잘, 나는 알고있다! 당신 언니가 내가 아름답고 똑똑한 재능이 있다는 걸 몰라? 하하하! 이 나이에 도달하면 이해합니다.
cobh.annick.70	(내가 뭔가를 말한 것을 잊어 버린 것처럼 보입니다.) <p/>이것이 정말로 나를위한 것입니까? 고마워! 누이는 너에게 좋은 음식을 주어야한다!
cobh.annick.71	하하하, 또는 당신은 여동생의 취미를 안다! 고마워요!
cobh.annick.72	와우 ~ 음, 음? 고마워.
cobh.annick.73	오, 선물은 어디있어? 왜 그렇게 비싼거야?
cobh.annick.74	꽤 관대 한가? 나를 숭배하지 마라. 여신도 숭배하지 마라. 알았지?
cobh.annick.75	이봐, 환영 해! 가장 호화로운 호텔 카푸 항구가 있습니다! 카푸는 내 호텔 중 하나 일 뿐이지 만 ... <p/>이곳은 가장 좋고 최악의 호텔입니다! 하하하! 농담하지 마라, 여기 정말 맛있다! <p/>(자신에게 물어보십시오. 지루해합니다.) <p/>나를 찾았습니까? 누나를 만나러 왔니? (앤 니켈은 나를 놀리는 데 그의 눈을 쓸 수 있습니다.) 당신 ... ... 여전히 꽤 좋은 눈, 잘 하하하! 그럼 하하! <p/>죄송합니다, 언니
cobh.annick.76	[남성 : Jiedian / girls에 관심이 없다고 느끼지 않았다. ]
cobh.annick.77	자랄 때 돌아와. 어 하 하 하! (애니가 웃으면 서 이마를 올릴 수 있습니다.)
cobh.annick.78	와인 [0]
cobh.annick.79	[1]요리
cobh.annick.80	와인 [0]
cobh.annick.81	[1]요리
cobh.annick.82	목이 말라? 수녀님의 가게에는 값 비싼 음료와 맛있는 요리가 많이 있습니다. 선택할 자유롭게, 하 하 하! | 너무 많은 음료 때문에 상태가 낮을 때 피로를 덜어주는 가장 좋은 방법은 물론 온천에가는 것입니다!
cobh.annick.83	여기서 뭐하는거야?
cobh.annick.84	<button title='군수품에 대한 검색어' keyword='@answer_1'/>
cobh.annick.85	(앤닉의 얼굴은 즉시 못 생겨납니다.) <p/>누구로부터 알 수 있습니까? <p/>
cobh.annick.86	(Anni는 <username/>을 듣고 웃었다.) 아 ~ 뭐라구? 고객이 원본 이었나요? 나는 생각했다. 이봐 요! <p/>그러나 돈으로 사지 말고 내 물건. 일부 큰 품목은, 당신이 원하는 품목을 얻고 싶은 경우에 말썽을 찾아내는 경우에, 당신은 나가 교환 할 것을 돕는 것을해야한다. 어떻게?
cobh.annick.87	<button title='응답 된 ok' keyword='@answer_2'/>
cobh.annick.88	내가보기에, 당신이 그것에 대해 뭘 할 수 있니? <p/>
cobh.annick.89	(애니는 페이지별로 책을 꺼낼 수 있습니다.) <p/>
cobh.annick.90	(한동안 그것을보고 난 후에, 내가 그것을 좋아하지 않는 것처럼 그것은 강타로 나의 이야기를 닫았다.) <p/>행운이있는 사람. 사실, 당신이하는 일은 어렵지 않습니다. 헤이 ... 안돼. <p/>
cobh.annick.91	(Anni는 1 만 명이 싫어하는 것처럼 나를 바라 볼 수 있고, 무엇을해야할 지 말해 줄 수 있습니다.) 글쎄, 내가해야 할 일의 일부를 수집하는 것은 심부름이다. 라이브 그것이 비정상적인 일이기 때문에 빨리 되돌아 가십시오. <p/>
cobh.annick.92	(Annine은 수집 할 항목의 목록을 나에게 넘겨 줄 수 있습니다. 목록의 항목이 수집되면 괜찮을 것입니다.)
cobh.annick.93	네가 일을하고 싶으면 끝났어?
cobh.annick.94	<button title='애니 위젯 패키지 전달' keyword='@answer_1'/>
cobh.annick.95	(Ann Nike, 택배 소포와 군용품 재고를 앞뒤로 내다 보니 찾기 힘들어 보였습니다.) 금액, 그것을 얻기 위해 많은 노력을 기울였습니다 ... 실제로 당신은이 다른 것들을 사용하여 변화시켜야합니다 ... <p/>조금 적게! 비록 내가이 흰색을 준다고해도, 내가 당신에게 준 것을 절대 말할 수는 없습니다! br/>비밀을 지키십시오. <p/>특히 오언은 절대 알릴 수 없습니다! 아시나요? 금액, 오늘 밤에 켄 확실히 잠을 잘 것입니다.
cobh.annick.96	[2]기타
cobh.annick.97	[2]기타
cobh.ascon.1	아스카가 나타났다.
cobh.ascon.2	아직도 내 기억 속에 새롭다. 인생은 영원히 사라져 버렸다. 50 년 ... 상상할 수 있니? 세상이 어떻게 바뀌어도 아름다운 추억은 사라지지 않습니다. 나에게 기회를 주려고 하나님 께 더 ... ... 손을 잡을 수있는 기회를주세요 ... | 인생은 결국 죽음에 직면하게 될 것입니다. 들려? \ n ... 아니, 그것은 내 환상이다. 읽었을 경우 사람들은 살아갈 용기를 얻습니다. (흠) | Arran, 가지마! 안돼! ! ! 이건 ... 꿈 이예요. 불평투. 바람이 좀 차갑다.
cobh.ascon.3	(통신 할 수없는 것 같습니다)
cobh.ascon.4	<npcportrait name='NONE'/><title name='NONE'/>큰 이마 위에 가벼운 금발 머리, 머리카락을 뒤로, 특히 품위있는 느낌. 늙지 만 뒷면은 광택있는 피부, 건강한 몸으로 판단 할 때 곧 깁니다. 몸에 상처 많은, 고통 후에 많이 말했다. 먼 바다를 보면서 과거의 사건을 놓친 것 같습니다. <button title='계속' keyword='@continue'/>
cobh.ascon.5	<npcportrait name='NONE'/><title name='NONE'/>큰 이마 위에 가벼운 금발 머리, 머리카락을 뒤로, 특히 품위있는 느낌. 늙지 만 뒷면은 광택있는 피부, 건강한 몸으로 판단 할 때 곧 깁니다. 몸에 상처 많은, 고통 후에 많이 말했다. 먼 바다를 보면서 과거의 사건을 놓친 것 같습니다. <button title='계속' keyword='@continue'/>
cobh.ascon.6	(Askar 눈이 알수없는 많은 깜박입니다.) <p/>벨파스트에서 보낸 그 고통스러운 년 동안, 내가의 어린 시절의 추억이다 살아남을 수있는 용기를 가질 수 있습니다. 인생의 대부분의 추억이 잊혀 지긴하지만, 사랑하는 사람들의 좋은 기억은 항상 우리 마음 속에 기록됩니다. <p/>우리의 삶을위한 기회는 없습니다. 그러나 나는 아직도 일어난 일을 추측하는 것에 대해 생각할 수밖에 없다. <p/>당시 어머니의 말을 들었을 때, 내가 일찌기 집에 돌아 왔을 때 어떤 일이 생길까요? 왜 내가 일찌기 집에 가지 않았습니까? </p>(Ascari는 도울 수 없었지만 울기 시작했습니다.)
cobh.ascon.7	이 편지 ...! 얼마나 오랫동안 기대해야할지 모르겠다. 고마워. 나는 정말로 당신에게 감사하는 방법을 모른다. <p/>편지가 정말로 중요하기 때문에 잠깐 기다려주세요. 먼저 읽으겠습니다. 용서해 줘! (Ascca가 글자를 읽으면 서서히 표정이 희미해진다.) <p/>나는 정말로 그를 어떻게 생각하지 않았다. 그 당시 돈이별로 없었기 때문에 가장 낮은 입찰가를 가진 사람을 찾는 것이 내 실수였습니다. <p/>도와 줄 사람을 찾아야합니다. 어쨌든,이 편지를 보내 주셔서 감사합니다. <p/>나는 너에게 감사해야한다. 잠시 기다려주십시오. <p/>(Asca가 무언가를 찾고있는 것 같습니다.) <p/>발견! 이것은 깊은 사파이어입니다. 너는 그것을 좋아하니?
cobh.ascon.8	<button title='정말 고마워요' keyword='@answer2'/>
cobh.ascon.9	<button title='추가 요청' keyword='@answer3'/>
cobh.ascon.10	네가 좋아 하는게 최고야. 네가 보낸 편지에 대해 다시 한번 고마워.
cobh.ascon.11	미안해, 나는 단지 너무 많이 ... 다음에 더 좋은 것들이 있다면 분명히 줄 것이다.
cobh.ascon.12	저쪽 바다를 봐! 아름답 지 않아? 도크에서의 프로젝트는 거의 끝났으며, 프로젝트가 끝나면 더 아름답게 될 것이며 더 많은 배들이 주차 될 것입니다. <p/>바람과 파도를 들여다보고있는 아름다운 범선의 몸이 갑자기 사라졌습니다. <p/>오, 미안하다. 내 말을 들으라고 말한다. 노년기에는 피할 수없는 일입니다. 네가 나를 용서해주기를 바란다. <p/>기회가 있다면 배에서 나가는 느낌을 시험해보십시오. 터미널 프로젝트가 끝나면 여기를 걸을 수 있습니다. (바다와의 거리를 보면서 아소카의 눈은 눈물로 번쩍 들었습니다. 아스카는 고민을 당했을 때처럼 내려다 보며 한숨을 쉬었습니다.) <p/>편지를 읽은 후에 몇 가지 소원이 있었지만 아직도 할 일이 많습니다. 부모님의 유물은 아직 완성되지 않았고, 이제는 나를 도울 수있는 친척이 하나도 없습니다.
cobh.ascon.13	<button title='도와주세요' keyword='@answer5'/>
cobh.ascon.14	<button title='무관심' keyword='@answer6'/>
cobh.ascon.15	(Aska는 갑자기 놀랐고 잠시 주저했지만 머리를 흔들기 시작했습니다.) <p/>그것은 당신을 괴롭히기에 충분하며, 당신의 말을 곤경에 빠뜨린다. 내 마음은 매우 유감 스럽다. 나는 너의 마음을 가지고 있고, 너가 자유 롭다면, 너는 등대를 방문 할 수있다. 비록 내가 여기에서 매우 환영하지 않지만 최소한 당신은 차 한잔을 만들 수있다.
cobh.ascon.16	<button title='대화 끝' keyword='@answer7'/>
cobh.ascon.17	(Askar는 말하지 않았다 중지,하지만 <BR/>. 할 말이 갖고있는 것 같아요, 그리고 그의 머리를 흔들었다.) <p/>당신이 바쁜 사람이고, 내 생각도 바, 하, 하, 하 ... <경우 등대에 오셔서 놀 시간을 가지십시오. 언제든지 당신을 환영합니다.
cobh.ascon.18	<button title='대화 끝' keyword='@answer7'/>
cobh.ascon.19	(그냥 돌아 서서 떠나는 것이지만, Asca는 그의 손목을 잡았습니다.) <p/>잠깐! <Ascari는 그녀의 시선을 불안하게 움직이고 이빨을 쥐고 마침내 입을 벌 렸습니다.) <p/>이것이 당신에게 까다로울 수 있음을 알고 있지만 ... 더 명확히 말해서 <username/>을 제외하고는 아무도 나를 도울 수 없습니다. 작은 물건은 당신을 즐겁게한다! 당신을 위해, 그것을 잡으려고 손으로 간주되어야합니다. <p/>뒤에있는 등대를 보시죠, 그렇죠? 터미널은 현재 공사 중이지만 항법 장치는 없지만 많은 벨파스트 및 일리아 선박의 안전한 피난처가되기까지는 오래 걸리지 않을 것입니다. 보시다시피, 킨 포트 (Keene Port)와는 다른 점입니다. 밤낮으로 지나가는 배를 안내하는 등대가 있습니다. 그러나 문제는 평범한 방법으로 등대의 불이 점화되면 화재의 불빛이 매우 약해지고 등대가 항구에서 더 멀리 떨어져 있으면 등대의 불빛이 보이지 않는다는 것입니다. 고대부터 까 푸족은 고대의 방법으로 일련의 등잔을 만들고 연결하여 멀리 떨어져 있어도 등불의 불빛을 볼 수있었습니다. . 문제는이 랜턴에서 사용하는 연료가 고갈되면 랜턴이 떨어지므로 새 랜턴을 매일 교체해야한다는 것입니다. <p/>그러나 나이가 들어서 내 시력이 너무 나빴고 손과 발이 유연하지 않았기 때문에 많은 등잔을 내 노력으로하는 것은 매우 어려웠습니다. <p/>그래서, 당신의 도움을 요청하고 싶습니다. 등불 만드는 데 필요한 재료를 만드는 것이 괜찮습니까? <p/>걱정하지 마십시오. 이러한 일들은 지불됩니다.
cobh.ascon.20	(Askar가 머리를 숙였습니다.) <p/>4 개의 작은 화살표를 만드십시오. 너는 노동이있다. 나는 항상 여기에있을 것이고, 나를 잘 부르면된다.
cobh.ascon.21	(얇은 화살을보고 깜짝 놀랐다.) 좋은 공예품! 이 재료들은 확실히 멋진 초롱을 만들 것입니다. <p/>감사합니다. 당신의 도움 덕분에, 나는 물건을 내려 놓을 수 있습니다. 나는 뭔가 할거야.
cobh.ascon.22	(웃으며 손을 잡으십시오.) 마지막으로 감사합니다. 당신이 만든 자료는 터미널에서 완성 될 수 있어야합니다. 이것들은 당신의 장점입니다. 나중에 가끔 나를 도울 수 있으면 걱정할 필요가 없을 것 같습니다.
cobh.ascon.23	<button title='필수 키워드'='@answer2'/>
cobh.ascon.24	<button title='정중 한 거부' keyword='@answer3'/>
cobh.ascon.25	오후에 시간이 있다면, 언제든지와 주시면됩니다. 언제든지 <username/>을 환영합니다. (Asca는 등대 옆에 그려진 그림을보고 슬픔을 느꼈을 것 같습니다.) <p/>이 그림은 여동생이 그려줍니다. 이것은 내 누이가 남긴 유일한 메모리 캐리어입니다. 어제처럼 그 시간을 생각해보십시오 ... 사실 저는 아직도 그것이 50 년이되었다고 생각하지 않습니다. (Ascari는 오랫동안 내뿜습니다.) </p><p/>나는 Cap Harbor와 Belfast에서 내 시간을 제외하고는 어디에도 없었습니다. 어렸을 때 나는 <username/>처럼 전사가되어 모든 악의 세력을 물리 치고 영웅이 된 것을 꿈꿨다. 아주 유치한, 맞지? 이제는 어렸을 때 해적과 싸우고 늦게 집에 가지 않는 척하는 시간 동안 여기에서 놀았습니다. 엄마는 두 번 이상 나를 가르쳤다. <p/>(Askar의 얼굴은 그가 매우 슬픈라고 우리에게 말했다. 단지 바라 보았다 가슴 아픈 있습니다 <BR/>.) <p/>나는 아주 어렸을이었다 잡은 해적 벨파스트 . 저의 인생에서 거의 모든 어려움과 굴욕을 경험했습니다. <p/>(단어를 멈추고 바다를 조심하십시오.)
cobh.ascon.26	당신이 바쁘기 때문에, 그것은 좋은 일이 아닙니다. 그건 중요하지 않아. 파트 타임이 아니더라도 여가 시간에 게임을 할 수 있습니다. <username/>은 언제나 환영합니다. (Asca는 등대 옆에 그려진 그림을보고 슬픔을 느끼는 듯합니다.) <p/>이 그림은 여동생이 그린 그림입니다. 이것은 내 누이가 남긴 유일한 메모리 캐리어입니다. </p><p/>이러한 과거의 사건은 어제처럼 일어났습니다 ... 나는 정말로 50 년 동안 그것을 믿을 수 없습니다. (Aska sighed.) 저는 Cap Harbor와 Belfast를 제외한 제 평생 동안 어디에도 가지 않았습니다. 어렸을 때 나는 <username/>처럼 전사가되어 모든 악의 세력을 물리 치고 영웅이 된 것을 꿈꿨다. 아주 유치한, 맞지? 이제는 어렸을 때 해적과 싸우고 늦게 집에 가지 않는 척하는 시간 동안 여기에서 놀았습니다. 엄마는 두 번 이상 나를 가르쳤다. (Aska의 얼굴은 그가 슬프다는 것을 알려줍니다.) 그냥 내려다 보는 것이 가슴 아프다.) <p/>나는 어렸을 때 벨파스트의 도둑에 잡혔습니다. . 저의 인생에서 거의 모든 어려움과 굴욕을 경험했습니다. <p/>(단어를 멈추고 바다를 조심하십시오.)
cobh.ascon.31	......
cobh.ascon.32	(나는 항상 부드러운 표정을 찾지 못한다. 밤새 자고, 눈이 갇히고, 입술이 마르며, 매우 피곤해 보인다.) <p/>오 ... 너오고 있니? 갑자기 너를 불러서 미안해. 그 밖의 것이 없다면 나는 서둘러 너를 찾지 않을 것이다. , <username/>,별로 중요하지 않지만, 나에게 매우 중요합니다! 무슨 일이 있었는지 알아봐주세요. (Asias 마비는 질병에 감염된 것처럼 의자에 앉아 몸 전체를 떨고 있지만 그의 눈은 마법의 빛을 번쩍 내고있다.)
cobh.ascon.33	<button title='도와주세요' keyword='@answer2'/>
cobh.ascon.34	<button title='요청 세부 사항' keyword='@answer3'/>
cobh.ascon.35	(갑자기 일어나서 걸어 다녔고 양손으로 손을 잡은 채 피곤함을 거의 잊었습니다.) <p/>감사합니다. 감사합니다. 고마워! 무기력 한 나 같은 노인도 정말로 말할 수없는 고맙게 생각하는 <username/>마음의 가치가있다. (아스카의 눈, 나는 갑자기 큰 압박감을 느낀다.)
cobh.ascon.36	(갑자기 일어나 일어나 걸어 다녔고, 거의 모든 피곤함을 잊어 버렸고 양손으로 어깨를 움켜 쥐었습니다.) 물론, 이것은 필수입니다. 나는 자세히 설명 할 것이다. 나 같은 고령자도 정말로 진정할 수없는 고맙게 여기는 <username/>심장의 가치가 있습니다. (아스카의 눈, 나는 갑자기 큰 압박감을 느낀다.)
