iria_elf.subnpc.elf_familyguide.1	가족 보좌관이 나타났습니다.
iria_elf.subnpc.elf_familyguide.39	금화가 충분하지 않습니다 .. 이혼을 강요하려면 {0} 금이 필요합니다.
iria_elf.subnpc.elf_familyguide.40	이미 취소되었습니다. 양측에 대해 더 자세히 토론 해주세요, 어떻게?
iria_elf.subnpc.elf_familyguide.41	가족을 해산 시키시겠습니까? <button title='yes' keyword='@ok'/><button title='not' keyword='@cancel'/>
iria_elf.subnpc.elf_familyguide.42	가족은 정상적으로 해산되었습니다.
iria_elf.subnpc.elf_familyguide.43	가족이 제대로 녹지 못했습니다. 나중에 다시 신청하십시오.
iria_elf.subnpc.elf_familyguide.44	지금 신청할 수 없습니다. 희망을 다시 적용하십시오.
iria_elf.subnpc.elf_familyguide.45	집을 그만두시겠습니까? 선택을 해제하면 7 일 이내에 다시 가족과 합류 할 수 없습니다. <button title='OK' keyword='@Yes'/><button title='취소' keyword='@end'/>
iria_elf.subnpc.elf_officiator.1	웨딩 서포터가 로그인했습니다.
iria_elf.subnpc.elf_officiator.2	(말이 통하지 않는 것 같다)
iria_elf.subnpc.elf_officiator.3	결혼 축하합니다.
iria_elf.subnpc.elf_weddingdressrent.1	엘프 결혼 의상 렌탈 NPC가 로그인했습니다.
iria_elf.subnpc.elf_weddingdressrent.2	결혼 의상을 렌탈하도록 해 받고 있습니다.
iria_elf.subnpc.elf_weddingdressrent.3	(말이 통하지 않는 것 같다)
iria_elf.subnpc.elf_weddingdressrent.4	나는 결혼 의상의 렌탈을 담당하고 있습니다. <br/>멋진 추억 만들기의 거들기를 하도록 해 받습니다. <p/>
iria_elf.subnpc.elf_weddingdressrent.5	에서는, 앞으로의 행복한 생활을 기원하겠습니다.
iria_elf.subnpc.elf_weddingdressrent.6	결혼의 의상은 신랑과 신부만이 렌탈할 수 있습니다.
iria_elf.subnpc.elf_weddingdressrent.7	다음 행차를 기다리고 있습니다.
iria_elf.subnpc.elf_weddingdressrent.8	결혼 축하합니다. <br/>렌탈된 의상의 반환을 부탁합니다.
iria_elf.subnpc.elf_weddingdressrent.9	렌탈되었을 때로부터 받은 비용의 10%를 돌려 드렸습니다.
iria_elf.subnpc.elf_weddingdressrent.10	결혼 축하합니다. <br/>이쪽에서는 결혼식의 화가 되는 신부의 의상을 빌려 드리고 있습니다. <br/>신부를 더 한층 빛낼 수 있는 의상의 렌탈은 어떻습니까? <p/>{0} : {1}골드<br/><image item='{2}'{3}/><p/>
iria_elf.subnpc.elf_weddingdressrent.11	{0} : {1}골드<br/><image item='{2}' {3}/><p/>
iria_elf.subnpc.elf_weddingdressrent.12	{0} : {1}골드<br/><image item='{2}' {3}/><p/>
iria_elf.subnpc.elf_weddingdressrent.13	
iria_elf.subnpc.elf_weddingdressrent.14	<button title='{0}' keyword='@f_head'/>
iria_elf.subnpc.elf_weddingdressrent.15	<button title='{0}' keyword='@f_body'/>
iria_elf.subnpc.elf_weddingdressrent.16	<button title='{0}' keyword='@f_foot'/>
iria_elf.subnpc.elf_weddingdressrent.17	
iria_elf.subnpc.elf_weddingdressrent.18	<button title='그만둔다' keyword='@cancel'/>
iria_elf.subnpc.elf_weddingdressrent.19	렌탈된 의상은 식장의 밖에 나오면 사라져 버립니다. <br/>결혼식이 끝난 뒤로, 의상을 반환해 받을 수 있으면<br/>렌탈료의 10%를 답례하도록 해 받습니다. <br/>어느 의상이 렌탈됩니까?
iria_elf.subnpc.elf_weddingdressrent.20	결혼식이 시작되기 전에 생각이 바뀌어지시면, 또 와 주세요.
iria_elf.subnpc.elf_weddingdressrent.21	{0} : 렌탈료 {1}골드<br/><br/>이 의상이 렌탈됩니까? <button title='한다' keyword='@f_rent'/><button title='하지 않는다' keyword='@cancel'/><image item='{2}' {3}/>
iria_elf.subnpc.elf_weddingdressrent.22	에서는, 받아 주세요. <br/>
iria_elf.subnpc.elf_weddingdressrent.23	목록에 빈 곳이 없습니다. <br/>확인 후, 재차 시험해 주세요.
iria_elf.subnpc.elf_weddingdressrent.24	죄송합니다만, 소지금이 부족한 것 같습니다. <br/>{0}의 렌탈료는 {1}골드가 됩니다.
iria_elf.subnpc.elf_weddingdressrent.25	결혼 축하합니다. <br/>그러면, 렌탈된 의상의 반환을 부탁합니다.
iria_elf.subnpc.elf_weddingdressrent.26	렌탈되었을 때로부터 받은 비용의 10%를 답례하도록 해 받았습니다.
iria_elf.subnpc.elf_weddingdressrent.27	결혼 축하합니다. <br/>여기에서는, 신랑의 의상을 빌려 드리고 있습니다. <br/>멋진 결혼식을 올리기 위해서, 의상이 렌탈되어서는 어떻습니까? <p/>
iria_elf.subnpc.elf_weddingdressrent.28	{0} : {1}골드<br/><image item='{2}' {3}/><p/>
iria_elf.subnpc.elf_weddingdressrent.29	{0} : {1}골드<br/><image item='{2}' {3}/><p/>
iria_elf.subnpc.elf_weddingdressrent.30	{0} : {1}골드<br/><image item='{2}' {3}/><p/>
iria_elf.subnpc.elf_weddingdressrent.31	
iria_elf.subnpc.elf_weddingdressrent.32	<button title='{0}' keyword='@m_earring'/>
iria_elf.subnpc.elf_weddingdressrent.33	<button title='{0}' keyword='@m_body'/>
iria_elf.subnpc.elf_weddingdressrent.34	<button title='{0}' keyword='@m_foot'/>
iria_elf.subnpc.elf_weddingdressrent.35	
iria_elf.subnpc.elf_weddingdressrent.36	<button title='그만둔다' keyword='@cancel'/>
iria_elf.subnpc.elf_weddingdressrent.37	렌탈된 의상은 식장의 밖에 나오면 사라져 버립니다. <br/>또, 결혼식이 끝난 뒤로, 의상을 반환해 받을 수 있으면<br/>렌탈료의 10%를 답례하도록 해 받습니다. <br/>어느 의상이 렌탈됩니까?
iria_elf.subnpc.elf_weddingdressrent.38	결혼식이 시작되기 전에 생각이 바뀌어지시면, 또 와 주세요.
iria_elf.subnpc.elf_weddingdressrent.39	{0} : 렌탈료 {1}골드<br/><br/>이 의상이 렌탈됩니까? <button title='한다' keyword='@m_rent'/><button title='하지 않는다' keyword='@cancel'/><image item='{2}' {3}/>
iria_elf.subnpc.elf_weddingdressrent.40	에서는, 대출하겠습니다. <br/>
iria_elf.subnpc.elf_weddingdressrent.41	목록에 빈 곳이 없습니다. <br/>확인 후, 재차 시험해 주세요.
iria_elf.subnpc.elf_weddingdressrent.42	죄송합니다만, 소지금이 부족한 것 같습니다. <br/>{0}의 렌탈료는 {1}골드가 됩니다.
iria_elf.subnpc.elf_weddingguide.1	엘프 웨딩 서포터가 로그인했습니다.
iria_elf.subnpc.elf_weddingguide.2	용건이 있는 분은 무엇이든지. |결혼 하시는 분은 꼭 상담해 주세요.
iria_elf.subnpc.elf_weddingguide.3	(말이 통하지 않는 것 같다)
iria_elf.subnpc.elf_weddingguide.4	나는, 결혼식을 서포트하도록 해 받는 사람입니다. <br/>멋진 추억 만들기가 생기도록, 성심성의 노력하도록 해 받습니다. <p/>
iria_elf.subnpc.elf_weddingguide.5	다음 행차를 기다리고 있습니다.
iria_elf.subnpc.elf_weddingguide.6	이혼은 기본적으로 양자가 합의한 다음 성립합니다. <br/>그러나, 상대가 실종했을 경우의 일을 생각해<br/>강제적인 이혼도 받고 있습니다. <p/>합의 이혼의 경우는,{0}골드. <br/>그에 대해, 일방적인 이혼의 경우는<br/>{1}골드를 수수료로 해서 받고 있습니다. <p/>
iria_elf.subnpc.elf_weddingguide.7	이혼 방식을 선택해 주세요. <button title='합의 이혼' keyword='@mutually'/><button title='강제 이혼' keyword='@onesidedly'/><button title='캔슬' keyword='@cancel'/>
iria_elf.subnpc.elf_weddingguide.8	상대의 의향을 방문하겠습니다. 잠시 기다려 주세요. <button title='확인한다' keyword='@divorce_confirm'/><button title='그만둔다' keyword='@quit'/>
iria_elf.subnpc.elf_weddingguide.9	이혼의 수속이 완료했습니다.
iria_elf.subnpc.elf_weddingguide.10	아직 대답을 받고 있지 않습니다. 이제(벌써) 잠시 기다려 주세요.
iria_elf.subnpc.elf_weddingguide.11	상대는 이혼을 바라지 않는 것 같습니다. <br/>한번 더 둘이서 잘 서로 이야기 하게 되면 어떻습니까?
iria_elf.subnpc.elf_weddingguide.12	캔슬되었습니다. <br/>한번 더 잘, 둘이서 서로 이야기 하게 되어 보면 어떻습니까?
iria_elf.subnpc.elf_weddingguide.13	상대가 없는 것 같습니다.
iria_elf.subnpc.elf_weddingguide.14	상대가 강제 이혼된 것 같습니다.
iria_elf.subnpc.elf_weddingguide.15	합의 이혼 처리중에 트러블이 발생했습니다. 수고스럽겠지만 사용자 써포트까지 연락을 부탁합니다.
iria_elf.subnpc.elf_weddingguide.16	죄송합니다만, 소지금이 충분하지 않습니다. <br/>합의 이혼을 하려면,{0}골드 필요합니다.
iria_elf.subnpc.elf_weddingguide.17	상대가 계시지 않는 것 같네요. 합의 이혼을 된다면, 상대의 분과 함께 와 주세요.
iria_elf.subnpc.elf_weddingguide.18	강제적으로 이혼되는 경우는, 수수료의 일 만이 아니게<br/>상대가 이쪽에 올 수 있을 때까지, 이혼을 알아차리지 않는 것이 있기 때문에<br/>신중하게 생각하가 되고 나서 결정해 주세요. <p/>정말로 이혼됩니까? <button title='네' keyword='@Yes'/><button title='아니오' keyword='@No'/>
iria_elf.subnpc.elf_weddingguide.19	이혼의 수속이 완료했습니다.
iria_elf.subnpc.elf_weddingguide.20	강제 이혼중에 트러블이 발생했습니다. 서포트까지 연락을 부탁합니다.
iria_elf.subnpc.elf_weddingguide.21	죄송합니다만, 소지금이 충분하지 않습니다. <br/>강제 이혼을 하려면,{0}골드 필요합니다.
iria_elf.subnpc.elf_weddingguide.22	캔슬되었습니다. <br/>한번 더 잘, 둘이서 서로 이야기 하게 되어 보면 어떻습니까?
iria_elf.subnpc.elf_weddingguide.23	죄송합니다만, 소지금이 충분하지 않습니다. <br/>강제 이혼을 하려면,{0}골드 필요합니다.
iria_elf.subnpc.elf_weddingguide.24	캔슬되었습니다. <br/>한번 더, 둘이서 잘 서로 이야기 하게 되어 보면 어떻습니까?
iria_elf.subnpc.elf_weddingguide.25	결혼하면, 상대로부터의 메세지를 새긴 반지를 받을 수가 있습니다. <br/>또, 상대의 이름이 들어간 타이틀을 이용할 수가 있습니다. <p/>결혼을 하려면 우선, 약혼을 하지 않으면 안됩니다. <br/>약혼된 뒤로, 희망이 있으면 초대장을 만들어<br/>친구를 초대할 수가 있습니다. <p/>그리고, 결혼 반지를 준비해<br/>결혼식을 올리는 일이 됩니다. <p/>다만, 약혼 후는 현실의 세계에서 1주간 이내에 결혼식을 하지 않으면<br/>약혼이 무효가 되기 때문에, 우선은 결혼식의 일정을 제대로 결정하고 나서<br/>약혼되는 것이 좋을 것입니다. <p/>결혼식의 의상은 식장내에서 렌탈할 수가 있습니다. <br/>신랑에게는 웨딩 슈트와 구두를<br/>신부에게는 웨딩 드레스와 구두, 그리고 웨딩 베일을 대출하겠습니다. <p/>
iria_elf.subnpc.elf_weddingguide.26	결혼식을 올리려면{0}골드 필요합니다. <br/><br/>요금은 약혼시에 {1}골드를 미리 지불 해 승부에서 이기는 일<br/>결혼식의 직전에 나머지의{2}골드를 지불 해 주시면 좋습니다. <p/>
iria_elf.subnpc.elf_weddingguide.27	그러면, 약혼합니까? <br/><button title='약혼한다' keyword='@engage'/><button title='그만둔다' keyword='@quit'/>
iria_elf.subnpc.elf_weddingguide.28	@engage
iria_elf.subnpc.elf_weddingguide.29	약혼 상대의 이름을 입력해 주세요. <br/><inputbox caption='약혼 상대의 이름을 입력해 주세요. ' max_len='16' allow_cancel='true'/>
iria_elf.subnpc.elf_weddingguide.30	프로포즈는 끝난 상태가 되었습니까? <br/>여기에서는 멋진 프로포즈의 말을 상대의 분에 줄 수가 있습니다. <br/><inputbox caption='약혼하고 싶은 상대에게 주는 메세지를 입력해 주세요. ' max_len='20'/>
iria_elf.subnpc.elf_weddingguide.31	상대에게 메세지를 전했습니다. <br/>회답이 올 때까지 당분간 기다려 주세요. <br/><button title='확인한다' keyword='@engage_confirm'/><button title='그만둔다' keyword='@quit'/>
iria_elf.subnpc.elf_weddingguide.32	상대가 프로포즈를 받아 주신 것 같습니다. <br/>축하합니다! <p/>조금 전건네준 약혼 반지는, 식장에 입장할 때에 필요합니다. <br/>매우 중요한 것로<br/>절대로 없애지 말아 주세요. <p/>그러면, 약혼이 성립했으므로<br/>현실 세계의 1주간 이내에 결혼식을 올려 주세요. <br/>1주간을 지나면 약혼이 무효가 되기 때문에, 절대로 잊지 말아 주세요. <p/>그것과, 결혼식중에 결혼 반지를 교환합니다만<br/>결혼 반지에, 희망하시는 메세지를 새길 수가 있습니다. <br/>지금도 다음에도 상관하지 않으므로<br/>결혼식이 개시하기 전까지 반드시 새겨 주세요. <p/>
iria_elf.subnpc.elf_weddingguide.33	상대로부터 아직 대답이 없습니다. 이제 당분간 기다려 봅시다.
iria_elf.subnpc.elf_weddingguide.34	정말로 유감인 일로 말씀드리기 어렵습니다만…<br/>프로포즈를 거절당한 것 같습니다.
iria_elf.subnpc.elf_weddingguide.35	캔슬되었습니다.
iria_elf.subnpc.elf_weddingguide.36	지금은 대답을 하고 싶지 않은 것 같습니다….
iria_elf.subnpc.elf_weddingguide.37	상대는 이미 결혼, 또는 약혼되고 있지 않습니까?
iria_elf.subnpc.elf_weddingguide.38	약혼되려고 하고 있는 분이 인간이군요. <br/>우리들은 엘프 사이의 약혼만 받고 있습니다. <br/>죄송합니다.
iria_elf.subnpc.elf_weddingguide.39	그러한 분은 계시지 않는 것 같습니다. <br/>한번 더 이름을 확인하고 나서 재차 신청해 주세요.
iria_elf.subnpc.elf_weddingguide.40	캔슬되었습니다.
iria_elf.subnpc.elf_weddingguide.41	죄송합니다만, 소지금이 부족한 것 같습니다. <br/>약혼에게는{0}골드 필요하게 됩니다.
iria_elf.subnpc.elf_weddingguide.42	결혼식에 친구를 초대하는, 초대장을 발행하고 있습니다. <br/>초대장을 가지고 계신 분이라면, 내가 식장내에 안내하도록 해 받습니다. <br/>만약, 초대장을 잊기도들 네 없었던 경우에서도, 리스트로부터 선택해 입장할 수가 있습니다. <p/>초대장은 1매{0}골드로 만들겠습니다. <br/>몇매만드십니까? <button title='1매' keyword='@_1'/><button title='10매' keyword='@_10'/><button title='50매' keyword='@_50'/><button title='100매' keyword='@_100'/><button title='캔슬' keyword='@end'/>
iria_elf.subnpc.elf_weddingguide.43	캔슬했습니다.
iria_elf.subnpc.elf_weddingguide.44	초대장을{0}매 만들려면{1}골드 필요합니다. <p/>초대장에 쓰는 메세지를 입력해 주세요. <br/>결혼식의 일자와 채널에 대해 쓰여져도 좋다고 생각합니다. <br/><inputbox caption='초대 메세지를 입력해 주세요' max_len='20'/>
iria_elf.subnpc.elf_weddingguide.45	초대장을 발행했습니다.
iria_elf.subnpc.elf_weddingguide.46	목록에 빈 곳이 없는 것 같습니다. 한번 더 해 봅니까?
iria_elf.subnpc.elf_weddingguide.47	죄송합니다만 소지금이 부족합니다. <br/>초대장을{0}매 발행하려면{1}골드 필요하게 됩니다.
iria_elf.subnpc.elf_weddingguide.48	캔슬되었습니다.
iria_elf.subnpc.elf_weddingguide.49	죄송합니다만 소지금이 부족합니다. <br/>초대장을{0}매 발행하려면{1}골드 필요하게 됩니다.
iria_elf.subnpc.elf_weddingguide.50	결혼식장에 입장할 수 없었습니다. 서포트에 연락을 부탁합니다.
iria_elf.subnpc.elf_weddingguide.51	결혼하면 좋아하는 메세지가 새겨진 반지를 받을 수가 있습니다. <br/>또, 상대의 이름이 들어간 타이틀을 이용할 수가 있습니다. <p/>결혼식의 의상은 식장내에서 렌탈할 수가 있습니다. <br/>신랑에게는 웨딩 슈트와 구두를<br/>신부에게는 웨딩 드레스와 구두, 그리고 웨딩 베일을 대출하겠습니다. <p/>결혼식의 비용은{0}골드가 됩니다. <br/>약혼시에 {1}골드를 지불 받고 있으므로<br/>나머지의{2}골드를 지불이 되면, 결혼식을 올릴 수가 있습니다. <p/>
iria_elf.subnpc.elf_weddingguide.52	죄송합니다만 소지금이 부족한 것 같습니다. <br/>결혼식을 올리려면{0}골드 필요하게 됩니다.
iria_elf.subnpc.elf_weddingguide.53	식장이 열리면 로비에서 의상을 렌탈해<br/>준비를 할 수 있는 대로, 입장해 주세요. <p/>로비에서는, 결혼 의상 대출인으로부터 멋진 의상을 빌릴 수가 있습니다. <br/>특별히 빌리지 않아도 식은 들고 있습니다만, 일생에 한 번의 일이기 때문에<br/>렌탈되는 것을 추천합니다. <p/>의상의 렌탈이 끝나면, 그대로 식장에 이동해 주세요. <br/>신랑, 신부는 3개의 문의 중앙의 문에서 들어갑니다. <p/>준비가 끝나면 약혼 반지를 클릭 해<br/>「사용한다」를 선택하면 식을 올릴 수가 있습니다. <p/>결혼식장이 열리고 나서, 준비할 때까지의 시간은 30분 있습니다. <br/>그때까지 식을 개시하지 않으면, 결혼식이 캔슬이 되기 때문에 주의해 주세요. <p/>결혼식 종료후는, 초대된 여러분과 기념 촬영해<br/>렌탈된 의상을 반환해 주세요. <p/>촬영과 정리의 시간은 10분간 있습니다. <br/>10분 지나면 결혼식장에서 나오는 일이 되기 때문에, 주의해 주세요. <p/>마지막으로, 결혼식을 열기 전에 하나만, 전하는 일이 있습니다. <br/>초대장을 받지 않은 여러분은, 진행중의 결혼 리스트를 봐, 식장에 들어갈 수가 있습니다. <p/>만약, 초대하고 있지 않는 여러분의 입장을 피하고 싶다면<br/>암호를 설정해, 초대하고 싶은 분인 만큼 가르치면 좋을 것입니다. <p/>
iria_elf.subnpc.elf_weddingguide.54	식장을 엽니까? <br/><button title='연다' keyword='@open'/><button title='암호 설정' keyword='@setpassword'/><button title='다음에 연다' keyword='@quit'/>
iria_elf.subnpc.elf_weddingguide.55	상대가 계시지 않는 것 같습니다. 함께 와 주세요.
iria_elf.subnpc.elf_weddingguide.56	암호를 입력해 주세요. <inputbox caption='결혼식장의 암호를 입력해 주세요. ' max_len='16' allow_empty='true'/>
iria_elf.subnpc.elf_weddingguide.57	죄송합니다만 소지금이 부족한 것 같습니다. <br/>식을 열려면{0}골드 필요합니다.
iria_elf.subnpc.elf_weddingguide.58	초대장을 사용해 입장됩니까? <br/>또는, 리스트로부터 선택해 입장합니까? <button title='초대장을 사용' keyword='@wedding_card'/><button title='리스트로부터 선택' keyword='@select_list'/>
iria_elf.subnpc.elf_weddingguide.59	복수의 초대장을 가지고 계신 경우도 있기 때문에<br/>사용하고 싶은 초대장을 선택해 주세요. <selectitem caption='초대장 선택' list='
iria_elf.subnpc.elf_weddingguide.60	결혼식의 예정이 없는 것 같습니다. 시간과 채널을 지금 한 번 확인해 주세요.
iria_elf.subnpc.elf_weddingguide.61	초대장을 가지고 있게 되고 나서 와 주세요.
iria_elf.subnpc.elf_weddingguide.62	다음 행차를 기다리고 있습니다.
iria_elf.subnpc.elf_weddingguide.63	다만 지금 진행중의 결혼식의 리스트입니다. <br/>어느 결혼식에 참가됩니까? <listbox title='Select Wedding Hall\n결혼식 선택'>
iria_elf.subnpc.elf_weddingguide.64	</listbox>
iria_elf.subnpc.elf_weddingguide.65	이미 결혼식은 종료했습니다.
iria_elf.subnpc.elf_weddingguide.66	암호가 설정되어 있습니다. <br/>암호를 모르면 입장할 수 없습니다. <br/>암호를 입력해 주세요. <inputbox caption='암호를 입력해 주세요. ' max_len='16' allow_cancel='true'/>
iria_elf.subnpc.elf_weddingguide.67	암호가 다릅니다. 한번 더 확인합니까?
iria_elf.subnpc.elf_weddingguide.68	캔슬했습니다.
iria_elf.subnpc.elf_weddingguide.69	캔슬했습니다.
iria_elf.subnpc.elf_weddingguide.70	현재 행해지고 있는 결혼식은 없습니다. <br/>채널과 시간을 지금 한 번 확인해 주세요. <br/>
iria_elf.subnpc.elf_weddingguide.71	<button title='이혼' keyword='@divorce'/>
iria_elf.subnpc.elf_weddingguide.72	<button title='결혼 반지의 메세지 입력' keyword='@inputweddingmsg'/>
iria_elf.subnpc.elf_weddingguide.73	<button title='요금 안내' keyword='@fee_help'/>
iria_elf.subnpc.elf_weddingguide.74	<button title='자신의 결혼식장에 들어간다' keyword='@enter_my_wedding'/>
iria_elf.subnpc.elf_weddingguide.75	<button title='초대장 발행' keyword='@wedding_card'/>
iria_elf.subnpc.elf_weddingguide.76	<button title='식을 연다' keyword='@open_my_wedding'/>
iria_elf.subnpc.elf_weddingguide.77	<button title='약혼' keyword='@engage'/>
iria_elf.subnpc.elf_weddingguide.78	<button title='결혼 안내' keyword='@wedding_help'/>
iria_elf.subnpc.elf_weddingguide.79	<br/>우리들은 인간의 손님의 약혼· 혼례는 받고 있지 않습니다. <br/>죄송합니다만, 양해해 주십시오.
iria_elf.subnpc.elf_weddingguide.80	<button title='다른 사람의 결혼식에 참가' keyword='@enter_other_wedding'/>
iria_elf.subnpc.elf_weddingguide.81	<button title='그만둔다' keyword='@end'/>
iria_elf.subnpc.elf_weddingguide.82	어떠한 용건입니까?
iria_elf.subnpc.elf_weddingguide.83	프로포즈하고 싶은 상대는, 계시고 있습니까? <br/>만약, 결혼을 생각하고 있다면, 상대의 분과 함께 와 주세요. <br/>프로포즈로부터 약혼, 그리고 결혼식을 열 때까지, 돕도록 해 받습니다. <p/>결혼하면, 좋아하는 메세지를 새긴 반지를 받을 수가 있습니다. <br/>또, 상대의 이름이 들어간 타이틀을 이용할 수가 있습니다. <p/>결혼하려면 우선, 약혼을 하지 않으면 안됩니다. <br/>약혼이 성립하면, 희망하시는 분은 초대장을 만들어, 친구를 초대할 수가 있습니다. <br/>그리고, 결혼 반지를 준비해, 결혼식을 올릴 수가 있습니다. <p/>다만, 약혼 후는 현실의 세계에서 1주간 이내에 결혼식을 올리지 않으면<br/>약혼이 무효가 되기 때문에, 먼저 결혼식을 하는 날을 결정하고 나서, 약혼되는 것이 좋을 것입니다. <p/>결혼식을 올리려면{0}골드 필요합니다. <br/>요금은 약혼시에 {1}골드를 선불로 지불 해 승부에서 이기는 일<br/>식장을 열 때에, 나머지의 {2}골드를 지불 하는 일이 됩니다. <p/>상, 결혼식의 의상은 식장내에서 렌탈할 수가 있습니다. <br/>신랑에게는 웨딩 슈트와 구두를<br/>신부에게는 웨딩 드레스와 구두, 그리고 웨딩 베일을 빌려 드리고 있습니다. <p/>
iria_elf.subnpc.elf_weddingguide.84	기본적으로 양자가 합의한 다음 없으면 이혼은 성립합니다만<br/>상대가 오랫동안, 행방불명이 되었을 때의 일을 생각해<br/>강제 이혼할 수가 있습니다. <p/>합의 이혼의 경우는,{0}골드<br/>강제 이혼의 경우에는 수수료로 해서<br/>{1}골드 받고 있습니다. <p/>
iria_elf.subnpc.elf_weddingguide.85	결혼식을 올리려면{0}골드가 필요합니다. <br/>요금은 약혼시에{1}골드를 미리 지불이 되었다고 생각합니다. <br/>결혼식의 직전에 남아{2}골드를 지불 받을 수 있으면 좋습니다. <p/>상, 결혼식의 의상은 식장내에서 렌탈할 수가 있습니다. <br/>신랑에게는 웨딩 슈트와 구두를<br/>신부에게는 웨딩 드레스와 구두, 그리고 웨딩 베일을 빌려 드리고 있습니다.
