iria_human.heulfryn.1	[0]포션
iria_human.heulfryn.45	네─와… 저쪽에, 건강한 아가씨가<br/>계신다고 생각합니다만… 보입니까? <br/>그 분이 에트나씨입니다. <p/>은행의 관리를 되고 있으므로,<br/>필요하다면 말을 걸 수 있으면 좋아요~.
iria_human.heulfryn.46	대장간은 없습니다만, 무기가게라면 있어요. <br/>나의 근처에 있는 닛카가, 무기를 취급하고 있을 것입니다. <br/>조금… 소란스러울지도 모릅니다만, 뿌리는 나쁜 사람이 아니고…<br/>다양한 상품은 좋은 것(뿐)만이라고 생각하므로, 한 번 봐 주세요.
iria_human.heulfryn.47	예와… 나는 마법 이외는 그다지 자세하지 않아서…. <br/>혹시, 활이나 크로스보우에서의 공격의 일… 입니까?
iria_human.heulfryn.48	아. 활이라면 근처의 닛카가 팔고 있어요. <br/>입은 가벼울지도 모릅니다만, 싶고 충분하지는 않기 때문에<br/>안심해 주세요. 아하핫.
iria_human.heulfryn.49	류트라면, 아마 에피씨가 팔고 있는 것이 아닐까~? <br/>잡화상에 가 봐 주세요.
iria_human.heulfryn.50	<username/>씨는, 작곡도 할 수 있으십니까? <br/>나도 조금 갉아 먹었던 적이 있습니다만…. <br/>… 아니, 그렇지만 역시 본직의 분들에게는 전혀 이루어지지 않아요.
iria_human.heulfryn.51	… 자신의 옷 정도는, 스스로 고치고 싶습니다만…<br/>역시 아무래도 에피씨부탁이 되어 버려…. <br/>응. 언제까지나 호의에 응석부리고 있을 수도 없지요. <br/>어떻게든 하지 않으면…!
iria_human.heulfryn.52	그렇다면, 닛카가 자세할지도 모릅니다. <br/>이봐요, 나의 근처에서 무기를 팔고 있는 사람입니다.
iria_human.heulfryn.53	장사하는 것 자체는 별로 상관없다고는 생각합니다만…<br/>불합리한 가격걸치거나 속이거나 하는 것은<br/>과연 좋지 않을까…. <br/>아. 닛카는 그런 일 하지 않아요? 아하하핫.
iria_human.heulfryn.54	나로서도, 할 수 있으면 축복 포션을<br/>공짜로 여러분에게 나눠주고 싶습니다만…. <br/>과연 거기까지 금전적으로 여유가 없어서. <p/>여러분에게는, 뭔가 물물교환이라고 하는 형태로<br/>건네주어 하고 있습니다. <br/>그런 때에 필요하게 되는 스킬이에요.
iria_human.heulfryn.55	광장… 입니까? <br/>응… 이 근처에 말한다면…<br/>억지로 말하면, 바로 그곳의 열린 장소 근처입니까? <br/>그 이외라면… 특히 광장이라고 부를 수 있는 것 같은 장소는 없겠네요….
iria_human.heulfryn.56	늙는 일 없이, 슬퍼하는 일 없이… 그런 이상향의 일이군요. <br/>주로, 전설이나 옛날 이야기로 잘 나오는 장소의 일입니다.
iria_human.heulfryn.57	고보다 대대로 전해지고 있는 영웅담의 일이군요. <br/>아마, 최초로 만든 분은 음유시인의 분들이지 않았을까요.
iria_human.heulfryn.58	확실히, 이 근처는 조금 건조하고 있군요…. <br/>그렇지만, 아직 저수지가 필요할 정도는…. <p/>네? 이 근처의 이야기가 아니야? <br/>아, 미, 미안합니다. 엉뚱한 이야기를 해 버려…!
iria_human.heulfryn.59	응… 이 근처에 농경지라고 부를 수 있는 것 같은 장소는…<br/>아직 없네요. <br/>좀 더 개척되어 오면, 서서히 할 수 있는 것이 아닐까요.
iria_human.heulfryn.60	풍차입니까…? <br/>그렇네요… 주로 보리의 생산지에서 잘 보이는 것이군요. <br/>과연, 이리아에서는 풍차는 조금….
iria_human.heulfryn.61	촌장씨… 입니까? <br/>여기는 마을이라고 하는 것보다, 선진 캠프이기 때문에…. <br/>그렇네요. 억지로 말하면, 탐험 대장의<br/>알렉시나씨가, 촌장씨… 입니까. 아하핫.
iria_human.heulfryn.62	성당은 없습니다만, 축복이나 미사를 실시하고 싶은 것이면,<br/>내가 받아들여요. <br/>이렇게 보여도, 사제의 공부도 했던 적이 있으므로…. <p/>아. 축복 포션을 갖고 싶은 것 같으면,<br/>뭔가 다른 물건과 교환하는 형태이면, 건네줄 수가 있어요. <br/>과연, 나도 부자라는 것이 아니기 때문에,<br/>공짜로 인도할 수 없어… 죄송합니다.
iria_human.heulfryn.63	학교… 입니까…? <br/>이 근처로는 보이지 않아요…. <br/>과연… 개척지이기 때문에….
iria_human.heulfryn.64	악보입니까? <br/>그렇다면, 에피씨가 팔고 계신다고 생각해요. <p/>그렇지만… 이런 곳에서 악보를 찾아지다는…<br/>후후. <username/>씨라고, 재미있는 분이군요.
iria_human.heulfryn.65	있으면 편리한 스킬같네요. <br/>네? 나 말입니까? 아하핫… 어떻습니까.
iria_human.heulfryn.66	이러한 장소에서는, 캠프를 만드는 스킬이 편리하게 여깁니다. <br/>캠프 파이어와도 관련한 스킬이고. <br/>랭크 업 하게 해 손해는 없다고 생각합니다.
iria_human.heulfryn.67	응… 유감스럽지만, 여기의 식량 사정이 그다지 좋지 않기 때문에…<br/>식당이라고 말할 수 있을 정도의 장소는 아직…. <br/>아, 그렇지만, 언젠가는 이리아 특유의 재료를 사용한<br/>멋진 식당이 생기면 좋지요.
iria_human.heulfryn.68	무기가게라면, 저기의 닛카의 곳에 가 봐 주세요. <br/>나의 소개라고 말하면 잘 해 주겠지요. <br/>여기에 오는 전부터 친구이기 때문에.
iria_human.heulfryn.69	그렇네요…. 여기, 캠프니까요…. <br/>옷이라면 몇벌이나 에피씨가 판매되고 있습니다만,<br/>과연 의류점이라고 부를 수 있는 것은….
iria_human.heulfryn.70	그렇습니다! 이 근처, 서점이 없어서…. <br/>나도 그것만이 유감입니다만… 뭐, 이것뿐은 어쩔 수 없겠지요.
iria_human.heulfryn.71	이 캠프마을의 관리는 탐험 대장의<br/>알렉시나씨가 근무하고 있습니다. <br/>우르라 대륙에서의 관청과 같이 잃은 것을 찾고 있다면<br/>에트나씨의 곳에 가 봐 주세요.
iria_human.heulfryn.72	인…! 가, 갑자기 어떻게 하신 것입니까…!? <br/>서문, 여성의 분들에게는, 그 이야기는 되지 않는 것이 좋아요…!
iria_human.heulfryn.73	항구 쪽에서는 바다낚시가 생깁니다. <br/>내륙에서의 낚시와는 또 다른 즐거움이 있어요. <br/>좋았으면 한 번 시험해 봐 주세요.
iria_human.heulfryn.74	누군가에게 선물을 한다고, 멋진 일이군요. <br/>기분이 가득찬 선물이라면,<br/>받는 분도 반드시 환영받는다고 생각해요.
iria_human.heulfryn.75	무유 사막입니까? <br/>그렇다면, 카이피 계곡의 사이에 있는 길을 지나 가면<br/>가까스로 도착한다고 생각합니다만…. <p/>만약 무유 사막에 갈 수 있는 것 같다면,<br/>라이미라크의 축복을 잊으시지 말아 주세요. <br/>그 근처는 위험한 지역이므로….
iria_human.heulfryn.76	카르숲은, 무유 사막의 동쪽에 있습니다만,<br/>이 근처에서는 드물고, 마나의 흐름이 느껴지는 장소이랍니다~. <br/>신비적인 카르숲의 유적에서도 유명하네요.
iria_human.heulfryn.77	카이피 계곡이라면, 케르라베이스캐프의 동쪽으로<br/>걸어 가면, 발견된다고 생각해요. <p/>카이피 계곡을 경계로, 이 근처의 라노 지역과 무유 사막과는,<br/>지형이나 기후가 상당히 다릅니다.
iria_human.heulfryn.78	카르숲의 유적이라면, 그 이름대로, 카르 숲속에 있습니다. <br/>다만, 아무도 정확한 위치는 모르는 것 같아요. <br/>탐험자들의 이야기에 의하면, 유적의 입구가 대굴대굴 바뀌는 것 같아서,<br/>L로드를 사용하지 않으면, 입구가 발견되지 않는다고 합니다.
iria_human.heulfryn.79	미로 평원에는, 트치브타나 몽구스, 누…<br/>이리아에서는 결코 접할 수 없는 동물들이<br/>살고 있습니다. <p/>아. 외관은 사랑스러워도, 의외로 공격적인 것으로<br/>그 근처를 지날 때는 조심해 주세요.
iria_human.heulfryn.80	케르라베이스캐프는, 할 수 있고 나서 그렇게 지나지 않아요. <br/>원래는, 대륙 탐험을 하는데 있어서의 보급 기지 같은 것이니까요. <br/>아. 그렇지만, 이리아의 위험한 야생 동물로부터 피하기 위한<br/>작은 요새 같은 역할도 있군요. 후훗.
iria_human.heulfryn.81	「커지면, 사람을 위해서 살고 싶다」<br/>─그것이, 나의 어렸을 적의 꿈이었던 것입니다. <br/>그 때문에 사제의 공부를 시작한 것입니다만…<br/>아무래도 성에 맞지 않았던 것 같아. <p/>결국, 지금은 이렇게 해, 치료자의 일과 마법사로서의 일을<br/>겸하고 있습니다만, 지금 생각하면, 이렇게 해 여러 가지 일이 생기는 편이<br/>반대로 재미있고, 그 만큼 많이 도움이 될 수 있으므로,<br/>이것은 이것대로 좋았을까나, 라고 생각해 있거나 합니다.
iria_human.heulfryn.82	아는. 잘 말해져요. <br/>「이런 곳에 있을 것 같은 사람에게는 안보인다」─는. <p/>나 자신, 자신은 탐험이라든지 모험이라든지 하는<br/>타입이 아니라고는 생각하고 있습니다만…. <br/>후후. 무엇으로 여기에 있는지, 는? <p/>그렇네요…「닛카를 오고 싶었던 장소이니까」… 입니까? <br/>이봐요, 「친구와 함께라면 먼 그의 땅까지도」라는 말…<br/>저런 느낌으로… 닛카에 따라 오면, 어느새인가 여기까지… 후후훗.
iria_human.heulfryn.83	무기가게의 닛카와는 소꿉친구입니다. <br/>그렇네요… 이럭저럭 20년 정도입니까…. <br/>아하하. 이렇게 하고 생각하면, 상당히 긴 교제군요.
iria_human.heulfryn.84	미안합니다. 지금은 조금….
iria_human.heulfryn.85	미안합니다. 조금 손을 이야기할 수 없어서…. 또 다음에 와 받을 수 있습니까?
iria_human.heulfryn.86	안녕하십니까? <br/>모험자들은, 자신의 건강 관리를 제대로 하지 않는 버릇이 있습니다만,<br/>신체야말로 재산이라는 것! 잊지 말아 주세요!
iria_human.heulfryn.87	안녕하세요. 나는 히르브린이라고 합니다. <br/>네? 히라 같은데, 무엇으로 사제옷을 입지 않은 것인지… 는? <p/>아하하. 그렇네요. 잘 묻습니다만,<br/>나, 정식적 사제가 아닙니다. <br/>아. 물론, 사제의 공부는 쌓고 있으므로,<br/>축복 포션이나 상처의 치료는 할 수 있습니다만…. <p/>그렇네요… 억지로 말하면, 치료자겸마법사라는 곳입니까. <br/>이 근처에는 성당도 없고… 에서도, 탐험하는데 있어서<br/>축복 포션이나 치료가 필요하게 되는 것이 많기 때문에,<br/>내가 담당하고 있습니다.
iria_human.heulfryn.88	이 캠프에 와, 제일 최초로 진찰한 분은<br/>실은 알렉시나씨입니다. <br/>도착해 얼마 되지 않을 때, 갑자기 쓰러지셔…<br/>진단해 본 곳, 아무래도 옛부터의 지병을 가지고 계신 같아…. <p/>과연, 지병까지는 치료자의 기술에서는 어떻게 할 방법도 없습니다…. <br/>나에게는… 더 이상의 탐험 작업을, 멈출 수 밖에 없었습니다. <br/>아마 그것은… 알렉시나씨자신,<br/>제일 알고 계시는 것이라고는 생각합니다. <p/>그렇지만, 지금도 그리운 듯이 먼 곳을 응시하고 있는<br/>알렉시나씨의 모습을 보면…<br/>더는 참을 수 없는 기분으로 가득해…. <br/>사실, 자신의 무력함이 원망스럽습니다….
iria_human.heulfryn.89	컬러 JapanElectricComputer Co.,Ltd. 선장은… 이따금, 침착성이 없을 때가 있군요? <br/>아하하. 그렇지만, 걱정 필요 없어요. <br/>겉모습, 조금 불안하게 될지도 모릅니다만,<br/>아 보여, 항로를 틀렸던 것은 한번도 없다고 합니다로부터. <p/>… 에? 향후? <br/>그렇네요… 보장은, 조금… 아하하하핫.
iria_human.heulfryn.90	캠프로부터 조금 멀어진 장소에서도,<br/>처음 보는 동물이 많이 있군요. <br/>나도 이따금, 캠프의 측까지 오는 동물들을<br/>도감에 그리고 있습니다. <p/>닛카에는 「그런 일 하고 무엇이 되지?」는 잘 말해집니다만…<br/>새로운 것을 발견하는 것은,<br/>그것만이라도 상당히 즐겁다고 생각합니다만 말이죠~…. <br/>닛카에는, 역시 「보물」이 제일인 것이군요. 후후훗.
iria_human.heulfryn.91	미안합니다. 지금은 조금 시간이 없어서….
iria_human.heulfryn.92	미안합니다. 조금 손을 이야기할 수 없어서…. 또 다음에 와 받을 수 있습니까?
iria_human.heulfryn.93	그렇네요… 나도 너무 이 근처를 돌아봤을 것이 아니기 때문에,<br/>다른 분들보다 알고 있는 것은 적다고 생각해요.
iria_human.heulfryn.94	날씨가 나쁠 때는, 탐험은 쉬어<br/>생산 활동 해 본 어떻습니까? <br/>이리아는 물건이 부족하므로,<br/>사는 것보다 만든 분이 빠르고 싼 경우가 많아요. <p/>나의 기분탓일지도 모릅니다만,<br/>날씨가 좋은 날 잡아, 비오는 날 쪽이<br/>제작이 능숙하게 가는 것 같은 생각이 듭니다.
iria_human.heulfryn.95	마법 무기의 수리입니까? <br/>그것은 가능합니다만… 마법 무기는 물리적인 방법에서는 수리할 수 없어요? <br/><repair rate='{0}' stringid='(*/magic_school_repairable/*)'/>
iria_human.heulfryn.96	1포인트, 수리 완료입니다! |수리가 끝났어요. 미스는 없었습니다.
iria_human.heulfryn.97	아… 미, 미안합니다… 조금 실패해 버려…. |죄송합니다… 조금 실패해 버려….
iria_human.heulfryn.98	그―… 수리비가 부족한 것 같아요…? |완드의 수리비가, 조금 부족한 것 같습니다.
iria_human.heulfryn.99	어? 이것, 수리할 필요는 없는 것 같아요.
iria_human.heulfryn.100	어? 이것, 수리할 필요는 없는 것 같아요.
iria_human.heulfryn.101	완벽합니다! 수리 완료했습니다! |네, 무사 수리 완료입니닷!
iria_human.heulfryn.102	수리는 끝난 것입니다만…<br/>{0}포인트, 실패해 버려… 죄, 죄송합니다.
iria_human.heulfryn.103	수리는 끝난 것입니다만… 조금 실패해 버려…. |우우… 조금 실패해 버렸습니다….
iria_human.heulfryn.104	그―… 수리비가 부족한 것 같아요…? |완드의 수리비가, 조금 부족한 것 같습니다.
iria_human.heulfryn.105	더 이상, 수리할 필요는 없는 것 같아요?
iria_human.heulfryn.106	어?
iria_human.heulfryn.107	그러면, 소중하게 사용하셔 주세요. <repair hide='true'/>
iria_human.heulfryn.108	네─와…. |응…들은 적 없네요…. |미안합니다… 잘 몰라서…. |나는, 별로 도움이 될 수 없다고 생각해요. |들었던 적이 있는 것 같은, 없는 것 같은…. |아―… 역시 들은 일은 없는… 이군요…. |그 이외라면….
iria_human.heulfryn.109	네─와…. |응…들은 적 없네요…. |미안합니다… 잘 몰라서…. |나는, 별로 도움이 될 수 없다고 생각해요. |들었던 적이 있는 것 같은, 없는 것 같은…. |아―… 역시 들은 일은 없는… 이군요…. |그 이외라면….
iria_human.heulfryn.110	나는, 그다지 대답할 수 없을까…. |… 응…. 미안합니다. 잘 모릅니다….
iria_human.heulfryn.111	나는, 그다지 대답할 수 없을까…. |… 응…. 미안합니다. 잘 모릅니다….
iria_human.heulfryn.112	네─와…. |응…들은 적 없네요…. |미안합니다… 잘 몰라서…. |나는, 별로 도움이 될 수 없다고 생각해요. |들었던 적이 있는 것 같은, 없는 것 같은…. |아―… 역시 들은 일은 없는… 이군요…. |그 이외라면….
iria_human.heulfryn.113	오늘의 일은 벌써 끝나져 있지 않았습니까? <br/>일해 주시는 것은 굉장히 살아나기 때문에,<br/>또 내일, 와 받을 수 있습니까?
iria_human.heulfryn.114	일, 벌써 끝났습니까? <br/>아직 끝나지 않아도 보고는 할 수 있습니다만,<br/>끝까지 끝내 주시면, 좀 더 좋은 보수를 드려요. <br/><button title='보고한다' keyword='@report'/><button title='보고하지 않는다' keyword='@later'/>
iria_human.heulfryn.115	수고 하셨습니다. 감사합니다. <br/>그러면, 보수를 드리네요. 아무쪼록 선택해 주세요. <button title='보고하지 않는다' keyword='@later'/>
iria_human.heulfryn.116	정말로 살아났습니다! <br/>오늘은 특별한 보수를 드리네요.
iria_human.heulfryn.117	정말로 살아났습니다. 감사합니다. <br/>수고 하셨습니다!
iria_human.heulfryn.118	네… 와… 조금 부족한 것 같은 생각이 듭니다만…. <br/>아무튼, 수고 하셨습니다.
iria_human.heulfryn.119	응… 뭔가 다른 일이기도 했습니까? <br/>죄송합니다만, 보수, 그다지 건네줄 수가 없습니다….
iria_human.heulfryn.120	어? 아무것도 선택되지 않습니까?
iria_human.heulfryn.121	과연, 이래서야 조금…. <br/>형편 나쁜 경우는, 먼저 말해 주시면 살아납니다.
iria_human.heulfryn.122	네. 그러면, 그것을 부탁합니다. <br/>마감 시간내에, 잊지 않고 보고해 주세요.
iria_human.heulfryn.123	네─와… 아직 마감 시간으로는 되지 않은 것 같네요. <br/>좀 더 지나면 또 와 받을 수 있습니까? |아는. 빠르네요. 벌써 끝낼 수 있던 것입니까? <br/>미안합니다. 아직 보고 시간으로 되어 있지 않기 때문에,<br/>당분간 하면 또 와 받을 수 있습니까?
iria_human.heulfryn.124	그러면, 잘 부탁드립니다.
iria_human.heulfryn.125	일, 벌써 끝낼 수 있던 것 같습니다만…<br/>여기서 단념할 수 있다면, 어쩔 수 없습니다….
iria_human.heulfryn.126	일, 순조롭습니까? <br/>
iria_human.heulfryn.127	잘 부탁드려요.
iria_human.heulfryn.128	바쁜 것 같네요. <br/>아, 신경 쓰시지 말아 주세요. 상관하지 않아요.
iria_human.heulfryn.129	아… 이제(벌써) 오늘의 마감 시간이 지나 버렸어요…. <br/>죄송합니다. 유감입니다만… 보수는 드려지지 않습니다…. <br/>내일은 좀 더, 빨리 와 주세요.
iria_human.heulfryn.130	감사합니다. <br/>그러면, 죄송합니다만,<br/>먼저 지금 맡으시고 있는 일을 끝낼 수 있고 나서<br/>또 와 받을 수 있습니까?
iria_human.heulfryn.131	후후. <username/>씨라면 안심해 맡길 수 있습니다. <br/>
iria_human.heulfryn.132	오늘이나 잘 부탁드려요.
iria_human.heulfryn.133	알았습니다…. <br/>그러면, 또 이번, 잘 부탁드립니다.
iria_human.heulfryn.134	오늘은 어떤 일로 할까요?
iria_human.heulfryn.135	이 정도라면… 괜찮네요? <br/>그러면, 잘 부탁드립니다.
iria_human.heulfryn.136	그렇습니까…. 아, 아니오. 신경 쓰시지 말아 주세요. <br/>상관하지 않아요.
iria_human.heulfryn.137	언제나 신세를 지고 있습니다. <br/>감사합니다.
iria_human.heulfryn.138	잘 부탁드려요~.
iria_human.heulfryn.139	아, 괜찮아요. 다른 분에게 부탁해 보겠습니다.
iria_human.heulfryn.140	아르바이트를 찾아입니까? <br/>그렇다면, 괜찮다면 조금 도와 받을 수 있지 않습니까? <br/>정확히 일손을 갖고 싶었던 곳입니다. <br/>도와 주시면, 내용에 응해 보수도 드려요. <br/>아마, 모험을 된다면 필요하게 되어야 할 것입니다. <br/>어떨까요?
iria_human.heulfryn.141	좋았다~! <br/>그러면, 마감 시간이 되기 전에 또 이쪽으로 돌아오셔<br/>일의 결과를 보고해 주세요. <br/>
iria_human.heulfryn.142	좋았다~! 도움이 됩니닷! <br/>바쁘신 중에, 죄송합니다.
iria_human.heulfryn.143	응… 고맙습니다만,<br/>지금은 공교롭게도 일의 시간이 아니고…. <br/>이번에 또 도와 받을 수 있습니까?
iria_human.heulfryn.144	아… 조금 늦었던 것이군요. <br/>바로 조금 전, 여러분에게 오늘의 일을 전부<br/>부탁해 버린 곳입니다….
iria_human.heulfryn.145	… 미안합니다. 지금은 조금…. <br/>이번에 또 도와 받을 수 있습니까?
iria_human.heulfryn.146	아… 조금 늦었던 것이군요. <br/>바로 조금 전, 여러분에게 오늘의 일을 전부<br/>부탁해 버린 곳입니다….
iria_human.heulfryn.147	응… 고맙습니다만,<br/>지금은 공교롭게도 일의 시간이 아니고…. <br/>이번에 또 도와 받을 수 있습니까?
iria_human.heulfryn.148	굉장히 멋진 것이군요! 무슨 답례하면 좋은가…! |어? 선물? 가, 감사합니닷! 굉장히 기쁩니다. |네? 나에게 이것을? … 이런 멋진 것, 받아 버려도 좋습니까?
iria_human.heulfryn.149	이런 선물을… 감사합니다. |어디서 이런 것을…! 기분 사용하지 않아도 좋은데…. |일부러 신경써 감사합니다. 후후~|감사합니다, 일부러 이런 것을….
