tirchonaill.dilys.1	디리스가 로그인했습니다.
tirchonaill.dilys.34	나나 말야, 이 마을에 서점이 없는 것은 불편하다고 생각하고 있어요. <p/>필요한 책이 있어도,<br/>일부러 사람에게 부탁하지 않으면 안 되니까. <p/>환자분도 있고, 여기를 부재중에는 할 수 없는거야….
tirchonaill.dilys.35	… 이 마을에 관청? 없어요.
tirchonaill.dilys.36	그런 일은, 내가 들어도 대답할 수 없습니다. <br/>학교에 있는 레이널드 선생님을 방문해 주세요.
tirchonaill.dilys.37	활은, 신중하게 취급하지 않으면 안 되는 위험한 무기입니다. <br/>환자분의 대부분이, 활계의 무기로 부상해<br/>여기에 가(오)시니까.
tirchonaill.dilys.38	어떻습니까… 악기 연주 스킬에 대해서는<br/>성당에 있는 엔데리온 사제가 자세할 것입니다. <br/>이제(벌써), 만나뵈었습니까?
tirchonaill.dilys.39	류트 외에도 악기는 있습니다. <br/>티르코네일에 있는 악기는 류트 뿐입니다만…. <p/>다른 마을에는, 눈움직임 할 만큼 다양한 종류가 있습니다.
tirchonaill.dilys.40	작곡의 이야기는 누구로부터 들은 것입니까? <br/>혹시, 은행의 베빈입니까…? <br/>아마 그렇다면 사응입니다만. <p/>실은, 베빈은 그다지 노래가 능숙하지 않습니다. <br/>그 반동인가, 작곡 쪽에 열중하고 있는 것 같습니다만,<br/>재능이 없어서 고민하고 있는 것 같아…. <p/>그러니까, 다른 사람에게 작곡 스킬을 가르쳐<br/>자신이 좋아하는 곡을 만들게 하고 있다고 생각합니다. <p/>… 미안해요, 이야기가 빗나가 버렸습니다. <br/>성당의 엔데리온 사제란, 이제(벌써) 이야기해 보았습니까? <br/>엔데리온 사제는, 악기 연주 뿐만이 아니라 작곡도 능숙합니다. <br/>한 번, 이야기 해 봐서는?<p/>그리고, 만약 작곡 할 수 있게 되면<br/>베빈만이 아니고 나에게도 한 곡…. <p/>…. <p/>……. <p/>… 아, 아니오, 그런 간단하게는 작곡은 할 수 없겠지요. <br/>무리를 말해 미안해요.
tirchonaill.dilys.41	재봉 스킬라면,<br/>이 마을에서는 식료품점의 케이틴씨에게 들으면 압니다. <br/>누구에게 들어도 그렇게 말하면 생각해요. <p/>말콤의 가게에 있는 양복도,<br/>실은 케이틴씨가 만들고 있다고 하는 소문도 있는 정도입니다. <br/>확인하고 싶으면 식료품점에 가 봐 주세요.
tirchonaill.dilys.42	…? 뭔가 있던 것입니까? <br/>왜 그런 일을 말하는 것일까요….
tirchonaill.dilys.43	어렵게 생각할 필요는 없습니다. <br/>나무로부터 장작을 만들어, 물긷기를 해, 양의 털을 벤다…. <br/>그 정도입니다. <p/>간단한 일이므로, 그만큼 걱정할 것은 없습니다.
tirchonaill.dilys.44	티르나노이? <br/>전설의 환상 세계의 일입니다. <p/>아무도 간 일이 없는 세계…. <br/>어떻게해 전해져 왔는지,<br/>이상하게 생각할 때도 있습니다.
tirchonaill.dilys.45	마비노기에 대해서는,<br/>나보다 연상의 분에게 묻는 편이<br/>보다 자세한 이야기를 들을 수 있겠지요. <p/>촌장인가, 혹은 메이븐 사제에게 들어 봐 주세요.
tirchonaill.dilys.46	저수지에서는 물을 풀 수가 있습니다. <br/>그걸 위해서는, 빈병 따위의 그릇이 필요합니다만…. <br/>말콤의 잡화상 근처에서 팔고 있을지도 모릅니다.
tirchonaill.dilys.47	농경지는 학교의 근처입니다. <br/>주민의 돌림 관리로, 보리를 기르고 있습니다. <br/>언제나 갈 것은 아니기 때문에,<br/>특별히 전언 하는것 같은 일은 없습니다만.
tirchonaill.dilys.48	풍차라면 대장간의 근처입니다. <br/>보리를 켠다면, 풍차앞에 있는 아리사에 상담해 주세요. <p/>아, 풍차로 상처를 입지 않게 조심해 주세요.
tirchonaill.dilys.49	마을의 입구에 있는 시냇물의 일입니까? <br/>마물로부터 마을을 지킨 수녀의 전설에 구가해지고 있는 시냇물입니다. <p/>음… 어떤 이야기였을까…?
tirchonaill.dilys.50	촌장의 집은 이 근처입니다. <br/>집 앞의 비탈길을 조금 내린 곳에 있습니다. <br/>광장 가까이의 언덕으로부터 촌장의 집에 갈 수 있어요.
tirchonaill.dilys.51	성당에서는 라이미라크신을 우러러보고 있습니다. <br/>내가 아직 어렸던 무렵은, 어떤 신인 것인가 몰랐던 것입니다만…. <p/>이런 변경의 마을에도 성당이 있다고 하는 일은,<br/>에린에서의 라이미라크신에의 신앙이 두꺼운 증거라고 생각합니다.
tirchonaill.dilys.52	학교의 근처입니다. <br/>여기에서 왼쪽으로 보이는 은행에의 길을<br/>곧바로 내린 곳에 있습니다. <p/>아, 그것과… 학교에는 라사가 있습니다. <br/>자칭 마법의 선생님이라고 말합니다만,<br/>그 정도로 마법사를 자칭한다고 주제넘다는 느낌입니다, 완전히….
tirchonaill.dilys.53	악보라면 잡화상에 팔고 있을 것이…. <br/>찾아낼 수 있지 않았습니까?
tirchonaill.dilys.54	캠프 파이어? <br/>최근 많은 사람이 사용하고 있는 것 같습니다만…. <br/>만약 다른 사람에게 들어도 모르는 것 같다면,<br/>여관에 있는 피르아스씨를 방문해 봐 주세요. <p/>피르아스씨는, 이 마을에 침착할 때까지는<br/>세계 각지를 여행하고 있었습니다. <br/>아마, 그 스킬에 대해서는 누구보다 자세할 것입니다. <p/>어? 피르아스씨로부터 들은 것입니까? <br/>응… 그렇다면, 이 마을에서 알고 있는 것 같은 사람은…. <br/>이 근처로는, 그 스킬을 숙지하고 있는 사람은 없네요…. <p/>최근, 목동 데이 안이 캠프 파이어를 습득하려고 하고 있는 것 같습니다만.
tirchonaill.dilys.55	묘지… 입니까? <br/>집의 뒤에 있는 언덕 위에 올라 주세요. <p/>그렇지만, 치료자의 집까지 와 묘지의 장소를 묻다니<br/>당신도 변하네요….
tirchonaill.dilys.56	수업중은 굉장히 점잖아서 기품이 있는 것처럼 보입니다만… 실은 전부고양이나 모습입니다. <br/>술도 믿을 수 없을 정도 많이 마시고…. 그 정도의 마시는 것 자랑 정도는, 라사에는 이길 수 없어요. <br/>그 버릇, 다음날에는 아무 일도 없는 것처럼 「새침한 얼굴」로 학교에 나오고…. <p/>「이무기(술고래)」는 형용이 딱 맞습니다, 완전히….
tirchonaill.dilys.57	… 내가 아무리 말해도 믿을 수 없을테니까…. <br/>이것을 가져 알비 던전에 가 봐 주세요. <p/>이전, 술을 마셨을 때에<br/>「악취해도 몰라요?」라고 말하면,<p/>『나, 취하지 않은 걸! <br/>그 증거로 지금부터 알비 던전의 보물상자를 가지고 와요!』<br/>는 달려 간 것으로, 걱정이어 뒤쫓은거야.
tirchonaill.dilys.58	내가 말해도 믿을 수 없을테니까…. <br/>내가 드린 완드를 알비 던전에 바쳐 봐 주세요. <p/>이전, 술을 마셨을 때에<br/>「악취해도 몰라요?」라고 말하면,<p/>『나, 취하지 않은 걸! <br/>그 증거로 지금부터 알비 던전의 보물상자를 가지고 와요!』<br/>는 달려 간 것으로, 걱정이어 뒤쫓은거야.
tirchonaill.dilys.59	아, 이제(벌써)… 그 때는 정말로 대단했던 것이에요! <br/>뭐, 『골렘을 넘어뜨리러 간다!』라고 말하지 않았던 것 뿐 아직 좋었습니다만….
tirchonaill.dilys.60	마법 학교의 라사… 알고 있군요? <p/>수업중은 굉장히 점잖아서 기품이 있는 것처럼 보입니다만… 실은 전부고양이나 모습입니다. <br/>술도 믿을 수 없을 정도 많이 마시고…. 그 정도의 마시는 것 자랑 정도는, 라사에는 이길 수 없어요. <br/>그 버릇, 다음날에는 아무 일도 없는 것처럼 「새침한 얼굴」로 학교에 나오고…. <p/>「이무기(술고래)」는 형용이 딱 맞습니다, 완전히….
tirchonaill.dilys.61	당신은 나에게 있어 특별한 사람같다…. <br/>이런 일 말하는 것은 부끄럽지만, 요즘 잘 당신의 일이 머리에 떠올라. <br/>
tirchonaill.dilys.62	나는 라사와 동급생입니다. <br/>처음은 치유계의 마법으로 흥미를 가지고 있어,<br/>함께 이멘마하로 유학하러 간 것입니다만…. <p/>거기서, 정말로 흥미가 있던 것은 마법은 아니고,<br/>의료 그 자체였다고 하는 일을 알아차렸습니다. <p/>이멘마하로, 라사는 마법을 배워, 나는 의술을 배웠습니다. <br/>그렇지만, 라사가 먼저 티르코네일로 돌아가는 일이 되어, 마을에서 쓸쓸해 하고 있다고 하는 이야기를 들어…. <br/>나도 끝맺음이 좋은 곳으로 돌아가기로 한 것입니다. <br/>
tirchonaill.dilys.63	나는, 신체의 병은 고칠 수 있습니다만…. <br/>마음의 병은, 메이븐 사제나 엔데리온 사제에게 상담하는 편이 좋을 것입니다. <br/>
tirchonaill.dilys.64	언제나 나에게 마음이 있는 기색을 보여지면 곤란합니다. <br/>
tirchonaill.dilys.65	왜, 남자는 끈질기게 항상 따라다닙니까…? <br/>그만두어 주세요! <br/>
tirchonaill.dilys.66	최근, 끈질긴 남성이 많아서 곤란해 하고 있습니다. <br/>외관이 기호라고 하는 것만으로, 나에게 고백해 오는 남자는…. <br/>
tirchonaill.dilys.67	치료자의 일은, 상처를 고치는 것입니다. <br/>조금이라도 상태가 좋지 않았으면 말해 주세요. <br/>
tirchonaill.dilys.68	시급히{0}에 가 주세요! <br/>{1}의 습격으로 트레보가 소란을 피우고 있습니다!
tirchonaill.dilys.69	트레보의 이야기에 의하면,<br/>{0}의{1}에{2}가 출현하는 것 같습니다.
tirchonaill.dilys.70	나는 자세하게는 모릅니다. <br/><username/>씨…. <br/>… 만약, 뭔가 그 소문에 대해 알고 있는 것 같다면<br/>가르쳐 받을 수 없습니까…?
tirchonaill.dilys.71	아… 라사가 부러워요. 학교가 휴일로 쭉 한가한 것 같게 하고 있고…. <br/>이런 것이라면, 나도 선생님이 되면 좋았을까나…. <br/>
tirchonaill.dilys.72	밤에는 조심해 주세요. 굶은 야생 동물들이 어둠에 잠복하고 있기 때문에…. <br/>
tirchonaill.dilys.73	타인의 일만 신경쓰고 있는 것 같네요. <br/>자신에게도 그 정도의 관심을 가지면,<br/>돌고 돌아 다른 사람도 기뻐해 준다고 생각합니다만. <br/>최근 마을사람들은, 당신의 일을 나쁘게 말해요? <br/>
tirchonaill.dilys.74	던컨 촌장은 변함 없이 같네요. <br/>내가 아이의 무렵인 채예요. <br/>던컨 촌장에게도, 지금의 이야기를 해 봐 주세요. 후훅…. <br/>
tirchonaill.dilys.75	라사는 일견 쿨해 마이 페이스에 생각됩니다만,<br/>실은 꽤 정열적으로 욕심쟁이입니다. <br/>그근처는 아이의 무렵부터 쭉 바뀌지 않네요. <p/>그렇지만 의외로 상냥한 곳도 있어…. <br/>함께 있으면 즐거워요. <br/>
tirchonaill.dilys.76	여기를 찾는 것은 대단했던 것이지요? <br/>좀 더 마을의 중심으로 가까우면 찾아내기 쉬웠던 것이겠지만…. <br/>정직… 묘지의 곁인 것으로 조금 무섭습니다. <p/>나도 최초, 광장의 근처에 치료자의 집을 지을 생각이었습니다. <br/>그렇지만, 「여기라면 좀 더 득을 볼 것이다」라고 하는 촌장의 이야기도 있어. <p/>뭐결국, 손님의 수는 그런 대로라고 하는 곳입니다. <br/>눈에 띄는 것은, 거미를 퇴치하러 오는 사람들과<br/>짐을 맡기러 오는 트레보 정도입니까…. <br/>
tirchonaill.dilys.77	으응… 어떻습니까? 그렇지만, 당신과 이야기하고 있으면 상당히 즐거워요. <br/>
tirchonaill.dilys.78	실은 나도 잘 몰라서…. <br/>그렇지만, 그렇게 의지해 받을 수 있으면 기뻐요. <br/>
tirchonaill.dilys.79	네, 알았습니다! <br/>
tirchonaill.dilys.80	… 조금 지칠 기미의 것으로…. <br/>이야기는 또 이번이라도 좋습니까? <br/>
tirchonaill.dilys.81	무슨 말을 하고 있습니까? |다른 사람에게도 들어 본 것입니까? |다른 사람도 모릅니까? <br/>곤란했어요…. |…? |말씀하시는 것이, 잘 모릅니다만….
tirchonaill.dilys.82	스킬…. <br/>그렇게 말하면 일전에, 레이널드 선생님이<br/>마을에 나타난 여우를 해치운 스킬의 이름이 확실히…. <br/>카운… 카운터 어택? 그런 스킬이 있었습니다.
tirchonaill.dilys.83	카운터 어택 스킬은 어떻습니까? <br/>묻는 곳에 의하면, 상대가 강할 정도(수록) 그 진가를 발휘할 수 있는 것 같습니다.
tirchonaill.dilys.84	오늘의 일은 끝났습니다. <br/>또 내일, 잘 부탁드립니다.
tirchonaill.dilys.85	부탁한 일은 어떻습니까? <br/>도중에 있어도, 지금 보고해 주셔도 상관하지 않습니다. <br/>할 수 있던 만큼까지의 보수를 내기 때문에. <br/><button title='보고한다' keyword='@report'/><button title='보고하지 않는다' keyword='@later'/>
tirchonaill.dilys.86	과연<username/>씨군요! <br/>언제나 감사합니다. 오늘은 그 답례에, 보너스를 드립니다.
tirchonaill.dilys.87	네, 만족이 가는 내용입니다. <br/>감사합니다.
tirchonaill.dilys.88	조금 부족한 것 같은 생각이 듭니다…. <br/>죄송합니다만, 보수는 적은 듯이 되어 버리네요.
tirchonaill.dilys.89	몸이 불편한 것일까요…? <br/>라고는 해도, 일은 일이므로…. 보수는 이만큼이 됩니다.
tirchonaill.dilys.90	컨디션에서도 나쁜 것일까요? <br/>일도 중요합니다만, 건강의 일도 생각합시다. <br/>죄송합니다만, 약속이므로 오늘의 보수는 없습니다.
tirchonaill.dilys.91	네, 부탁하네요. <br/>마감까지 보고를 부탁합니다.
tirchonaill.dilys.92	미안합니다, 보고 시간이 되고 나서 또 와 받을 수 있습니까? <br/>그 때, 보수를 드립니다. |미안해요, 아직 다른 업무가 막혀 있어서…. <br/>보수의 청산은 좀 더 뒤로 합시다.
tirchonaill.dilys.93	에서는, 계속 부탁합니다.
tirchonaill.dilys.94	벌써 끝냅니까? <br/>그렇다면, 어쩔 수 없습니다만….
tirchonaill.dilys.95	일 쪽은 순조롭습니까? <br/>
tirchonaill.dilys.96	그러면, 계속 부탁합니다.
tirchonaill.dilys.97	이제 좋습니까? <br/>… 어쩔 수 없네요….
tirchonaill.dilys.98	미안해요, 오늘의 아르바이트는 마감했습니다.
tirchonaill.dilys.99	다른 일을 하고 있는 것 같네요. <br/>만약 그 쪽이 빨리 끝나면, 이 일도 도와줘 받을 수 있습니까?
tirchonaill.dilys.100	<username/>씨라면, 언제라도 대환영이에요.
tirchonaill.dilys.101	잘 부탁드립니다.
tirchonaill.dilys.102	바쁜 것 같다면, 또 다음의 기회에 와 주세요.
tirchonaill.dilys.103	딱 좋았어요,<username/>씨. <br/>치료자의 일을 도와줘 받을 수 없습니까?
tirchonaill.dilys.104	오늘이나 잘 부탁드립니다.
tirchonaill.dilys.105	바쁜 것 같다면, 또 다음의 기회에 와 주세요.
tirchonaill.dilys.106	아,<username/>씨! 오늘도 도와줘 받을 수 있습니까?
tirchonaill.dilys.107	오늘이나 잘 부탁드립니다.
tirchonaill.dilys.108	오늘은 바쁩니까?
tirchonaill.dilys.109	치료자의 일입니까? <br/>그렇다면, 나의 일을 조금 도와줘 받을 수 있습니까? <br/>그다지 낼 수 없습니다만, 보수는 드립니다. <br/>장기간 도와 주시려면, 일급의 업도 생각해요. <p/>어떻습니까?
tirchonaill.dilys.110	감사합니다, 매우 살아납니다. <br/>마감 시간이 가까워져 오면,<br/>일이 끝나 있는지 어떤지에 관련되지 않고 보고하도록해 주세요.
tirchonaill.dilys.111	그 밖에 용무가 있는 것 같네요…. <br/>그럼, 다른 분을 맞아 보겠습니다.
tirchonaill.dilys.112	지금은 아직 일의 시간이 아닙니다. <br/>다음에 또 와 주세요.
tirchonaill.dilys.113	이번은 좀 더 빨리 와 받을 수 있습니까? <br/>오늘에 한해서 사람이 많아서, 이제(벌써) 일이 없어져 버렸습니다….
tirchonaill.dilys.114	오늘은, 배달을 해 받고 싶은 것이 있습니다만…. <br/>수화물이 많아서, 더 이상은 무리인 것 같네요. <br/>일에 종사해서는 다음에 이야기할까요?
tirchonaill.dilys.115	지금은 형편이 나쁘기 때문에, 다음에 또 와 주세요.
tirchonaill.dilys.116	이번은 좀 더 빨리 와 받을 수 있습니까? <br/>오늘에 한해서 사람이 많아서, 이제(벌써) 일이 없어져 버렸습니다….
tirchonaill.dilys.117	지금은 아직 일의 시간이 아닙니다. <br/>다음에 또 와 주세요.
tirchonaill.dilys.118	정말로 감사합니다.
tirchonaill.dilys.119	감사합니다.
tirchonaill.dilys.120	어… 이것을, 내가 받아도 괜찮습니까…?
tirchonaill.dilys.121	어머나…. |응….
tirchonaill.dilys.122	어린이날 이벤트
tirchonaill.dilys.123	… 여신을 구출했어<username/>…? <p/>…. <p/>… 그런 일 믿을 수 있다고 생각합니까…? <br/>농담은 트레보 혼자서 충분하므로.
tirchonaill.dilys.124	감사합니다,<username/>씨. 역시 대단하네요. <br/>답례라고 해도, 이런 것 밖에 없습니다만…. <br/>이 중에서 하나 선택해 주세요. <button title='보고하지 않는다' keyword='@later'/>
tirchonaill.dilys.125	예, 나중에 오셔도,<username/>씨의 몫은<br/>분명하게 남겨 있기 때문에. <br/>그렇다고 해서 너무 늦어져서는 안됩니다.
tirchonaill.dilys.126	(회화를 할 수 없다.)
tirchonaill.dilys.127	<username/>씨, 만약 괜찮으시면 약초학을 배워 보지 않겠습니까? <br/>나의 가게를 잘 도와 주고 있으므로, 치료자에 향하고 있는 것 같은 생각도 들고…. <br/>만약 약초학에 흥미가 있는 것이라면, 나의 부탁을 들어 받을 수 없습니까? <br/><button title='네, 맡겨 주세요' keyword='@Yes'/><button title='흥미 없습니다' keyword='@No'/>
tirchonaill.dilys.128	정말로 치료자의 일에 흥미가 있으시군요… 기쁩니다. <br/>밖에 나오면, 후크로우편이 나의 의뢰를 옮겨 와 준다고 생각합니다.
tirchonaill.dilys.129	그렇습니까…. <br/>그럼 또, 치료자의 아르바이트 쪽 잘 부탁드립니다.
tirchonaill.dilys.130	(말이 통하지 않는 것 같다.)
tirchonaill.dilys.131	마리 아파요…. <p/>세계를 구한 것입니다 라고? <br/>약을 과음했을까.
tirchonaill.dilys.132	촌장과는 이제(벌써) 이야기를 되었습니까? <p/>…<p/>… 트레보는 바보이니까 알고 있을 이유 없고….
tirchonaill.dilys.133	내가 준 포션을{0}개 사용했어요. <br/>약속 대로 포션{0}개 드립니다.
tirchonaill.dilys.134	드린 포션을 하나도 사용하지 않은 것 같네요. <br/>그러면 내일 드립니다.
tirchonaill.dilys.135	조금 전 일부를 받아들였군요? <br/>내일아침 6시 지나면<br/>그 때 포션을 드립니다.
tirchonaill.dilys.136	계세요,<username/>씨. <br/><username/>씨… 군요? <br/>여기의 생활에 조금은 익숙해졌습니까? <p/>다른 세계로부터 온 모험가 여러분은<br/>안쪽 깊은 던전에 잠입하거나 무서운 마족과 싸우거나<br/>그런 위험을 즐기고 있는 사람이 많지요. <p/>가능한 한 몸에는 주의해 받는 편이 좋습니다만…. <br/>어차피 하지 않으면 안 된다면, 몸을 지키는 편이 좋지요? <br/>인 것으로 오늘은 일부에 대해 이야기 하려고 생각합니다. <br/>뭔가 신경이 쓰이는 일이 있다면 이 기회에 전부 들어 주세요. <p/>
tirchonaill.dilys.137	… 이 정도라면 대체로 아는군요? <br/>만약 아직 모르는 것이 있다면<br/>부끄러워하지 않고, 언제라도 들어 주세요. <button title='벌써 안' keyword='@done'/><button title='생명력에 대해 한번 더 묻는다' keyword='@about_life'/><button title='스태미너에 대해 한번 더 묻는다' keyword='@about_stamina'/><button title='음식에 대해 한번 더 묻는다' keyword='@about_food'/><button title='포션의 단축 키에 대해 한번 더 묻는다' keyword='@about_shortcut'/><button title='휴게에 대해 한번 더 묻는다' keyword='@about_rest'/>
tirchonaill.dilys.138	마지막에… 다소 돈이 필요합니다만,<br/>각 마을의 치료자로부터 치료를 받을 수가 있습니다. <br/>조금 전, 내가 치료자의 집에서 치료를 받게 된다고 한 것 기억하고 있군요? <p/>싼 비용으로 상처까지 치료를 받게 되므로<br/>긴급의 경우가 아니면, 꼭 이용해 주세요. <p/>아… 그리고<username/>씨가 10 레벨이 될 때까지는<br/>매일 아침 이웨카가 가라앉기 전에 와 받을 수 있으면<br/>포션을 선물 합니다. <br/>이웨카는 하늘에 떠오르는 달의 일입니다. <p/>시간은, 그림자를 봐도<br/>알기 힘들면 o키를 눌러 에린의 시간을 확인해 주세요. <br/>이웨카가 가라앉는 시간은, 아침 6시입니다. <p/>나부터는 이상입니다. <br/>부디 몸을 조심해 주세요. <button title='계속한다' keyword='@continue'/>
tirchonaill.dilys.139	<button title='치료를 받는다' keyword='@healerscare'/>
tirchonaill.dilys.140	아,<username/>씨, 상처나고 있습니까? 빨리 치료하는 편이 좋네요. <br/>무엇으로 이 근처로는 상처를 입는 사람이 많은 것인지…<br/>치료비는 90 골드이지만, 높다고 생각하지 말고 우선 치료를 받아 주세요.
tirchonaill.dilys.141	<button title='치료를 받는다' keyword='@gethealing'/><button title='그만둔다' keyword='@cancel'/>
tirchonaill.dilys.142	네, 붕대도 감아, 치료도 끝났습니다. <br/>만약, 또 상처를 입는 일이 있으면, 곧 와 주세요.
tirchonaill.dilys.143	그렇게 말하면, 응급 치료 스킬을 가지지 않네요. <br/>언제까지나 나의 곳에 일부러 와, 치료를 받을 수는 없어서,<br/>붕대의 올리는 방법 정도는 알아 두는 편이 좋네요? <p/>붕대를 감아, 부상을 치료하는 응급 치료 스킬을 지도 합니다. <br/>이 스킬은 붕대가 없으면 사용할 수 없어서,<br/>붕대를 사 두는 것을 잊지 않도록 해 주세요.
tirchonaill.dilys.144	아, 치료비가 부족하네요~. <br/>, 붕대대와 진찰료도 있기 때문에 공짜로 해 줄 수는…. <br/>아르바이트라도 하고 나서, 계시는 것은 어떻습니까?
tirchonaill.dilys.145	상처나 없어서, 전혀 괜찮아요~. 후후, 꾀병은 좋지 않아요~
tirchonaill.dilys.146	네? 관청이 이 마을에? <br/>금시초문이군요~. <br/>최초부터 이 마을은 에이리후 왕국의 소속도 아니고…<p/>혹시, 모험중, 잃은 분실물을<br/>찾기입니까? <p/>관청은 없지만, 마을에 관한 문제는<br/>전부 촌장이 봐 주기 때문에,<br/>그 쪽에 한 번 가 보면 어떻습니까?
