emainmacha.subnpc.cecil.1	세실 데뷔.
emainmacha.subnpc.cecil.32	(세실의 얼굴은 수줍음 때문에 두 가지의 홍조를 보였고 계속되었다.) <p/>카우아이가 어떤 여자애를 좋아하는지 알아 보도록 도와주세요. 내가 아 물었다 고 말하지 마라! <p/>자연스럽게 행동하라 ... 친구가 물어 본다. 무슨 뜻인지 아시오? <p/>정보에 대해 아는만큼! 만약 당신이 나를 알면, 나는 당신에게 뭔가를 줄 것입니다 ... 이봐, 가지고있어? <p/>
emainmacha.subnpc.cecil.33	(세실은 깊고 사려 깊은 미소로 미소 지으며 귀 뒤에서 얼굴의 머리카락을 쭉 펴고있다.) 잊지 못할 까봐 두려운 사슴 코넬 (Deer Cornell) <p/>절대적으로, 나는 결코 물어 보지 못했다! <p/>글쎄, 제발! <username/>[?]Male : brother / 자매]도 몸을 돌봐!
emainmacha.subnpc.cecil.34	마침내 오신 것을 환영합니다! <username/>! 카와이 형제를 만나기 위해 내가 질문 했습니까? 물어 본 적이 있습니까? <p/>내 동생은 여자 친구가있어, 뭐야? 무슨 일이 있었 니? 어떻게 아무 말도하지 않았 니? <p/><npcportrait name='NONE'/><title name='NONE'/>( Cecil은 귀찮게 뛰어 들었고 주위를 뛰어 다니며 주위를 돌기 시작했습니다.
emainmacha.subnpc.cecil.35	<button title='케이의 생일에 대해 말해보세요' keyword='@answer_1'/>
emainmacha.subnpc.cecil.36	<button title='미나의' keyword='@answer_2'/>에 대해 뭐라고 말하십시오. "
emainmacha.subnpc.cecil.37	오늘은 카야 형제의 생일 이니? 지금 어떻게 하시겠습니까! <p/>정말요? 어떻게하면 좋을까요!/>새로운 아름다운 옷을 사세요 ... <p/>
emainmacha.subnpc.cecil.38	무슨 일 이니? 미나는 카요에서 멀지 않은가? 음, 그렇게 될 줄 알았어. 그 누이가 학교 싸움에가는 것은 변명 일 뿐이야. >사실 카이 형제가 좋기 때문에 형제를 닫으려고 주도권을 잡습니다. <p/>
emainmacha.subnpc.cecil.39	(참가자들은 아무 소리도없이 조용히 쳐다 보며 대화에 참여하고 있습니다.) <p/>
emainmacha.subnpc.cecil.40	<title name='그리스어 / 세실에서, ​​그런 사람은 왜 그렇게 사로 잡혔습니까? 미나가 생일을 준비하게하십시오. 우리는 그것이 무료 인 한 먹고 마시고 싶습니다. 그런 다음 그 일들을 처리 할 수 ​​있고, 케이에게 할 수있는 권한도 주어집니다. 어떻게 좋습니까? <p/>
emainmacha.subnpc.cecil.41	<npcportrait name='cecil'/>너무 많이! 누나가 카와이 형제를 좋아하지 않는다는 것을 알고 있지만, 적어도 그는 육식 동물 시간이 충분하지 않아도 작은 선물을 먹었습니까? 내 동생은 칼과 두부의 심장이라고 생각했습니다. 나는 언니가 그런 사람 이었다는 것을 몰랐습니다. . <p/><npcportrait name='세실'/><title name='세실'마지막으로 형제 장로는 언니에게 무엇을했기 때문에 그를 성가 시게 했습니까? 그러나 당신과 저를 구하기 위해 실수했습니다 !! <p/>
emainmacha.subnpc.cecil.42	(세실은 손을 뻗어 머리를 돌렸다.) <p/>
emainmacha.subnpc.cecil.43	레이스, 세실 ... <p/><npcportrait name='NONE'/><title name='NONE'/>(필사적으로 속삭였다.) <p/>
emainmacha.subnpc.cecil.44	<title name='By the Greek'/>아니요 ... 그 의미는 아닙니다. 나는 너를 걱정했기 때문에 ... <p/><npcportrait name='yuki'/><title name='by Greek'/>너도 몰라 카이 .. 너도. 나는 그가 어떤 사람인지 모른다. <p/>
emainmacha.subnpc.cecil.45	<title name='By Hi>/>그럼 나는 그를 맹목적으로 사랑할 수 없습니까? 아마도 위험한 사람이해야 할 일은 ... <p/>
emainmacha.subnpc.cecil.46	(세실이 돌아 서서 말했다. 손을 약간 안고 있었다.) 너무 긴장되어 미안하다. 다른 것들은 용납 될 수 있지만 카에다의 판단을 견디지 못합니다 ... <p/>... 아마도 내 동생의 말은 의미가 있습니다. 나는 카와 게를 너무 열망하고 싶어한다. 브라더 장로가 나쁜 사람이라면 그것이 정말로 매우 위험한 사람일까요? <p/>
emainmacha.subnpc.cecil.47	(세실 갈색 눈 분출물에 대한 일반적인 <BR/>세실 슬픈 표정 얼굴 눈물 경우. 등) <p/></ 이름/>[남성 :? 형제 / 자매]너는 [?Male:형제/여동생]에 대해 어떻게 생각하니, 어떻게 생각하니?
emainmacha.subnpc.cecil.48	<button title='위험한 것으로 보입니다' keyword='@answer_3'/>
emainmacha.subnpc.cecil.49	<button title='위험 요소 없음' keyword='@answer_4'/>
emainmacha.subnpc.cecil.50	그렇다면 ... 위험한 남자와 같은 이상한 여자인가요? <p/>
emainmacha.subnpc.cecil.51	<npcportrait name='yuki'/><title name='from 希'/>아닙니다 ... 당신이 말하는 것처럼
emainmacha.subnpc.cecil.52	정말?이 경우입니다! <p/>
emainmacha.subnpc.cecil.53	<npcportrait name='yuki'/><title name='希 希'/>음 ... 어쩌면 당신 말이 맞을 수도 있고 아닐 수도 있습니다. <p/>
emainmacha.subnpc.cecil.54	<title name='그리스어 / 카위가 저장합니다. 내 앞에, 그것은 항상 악랄한 것처럼 보였다. <p/>
emainmacha.subnpc.cecil.55	<title name='그리스어로 생일 선물을 준비하는 데는 아무런 문제가 없습니다. 어쨌든, 그 사람이야. <p/>
emainmacha.subnpc.cecil.56	<title name='By Shiro/>또한 KAI가 무엇인지 조심스럽게 이해하는 데 도움이되는 닫기에서 관찰 할 수 있습니다. 그러나 그 사람이 매우 좋다고 생각하지 않는다면, 그 때까지 누이에 대해 불평하지 마십시오. <p/>
emainmacha.subnpc.cecil.57	(Mademoiselle은 웃으며 농담으로 세실의 뺨을 꼬집었다.) <p/>
emainmacha.subnpc.cecil.58	<title name='By Greek'/>그래, 나는 <username/>에게 할 말이있다. 지금 막 케이의 생일 선물을 준비해야한다고했는데, 오랫동안 준비해야 할 것이 무엇인지 알지 못했습니다. <p/>
emainmacha.subnpc.cecil.59	<title name='유키'/>당신이 바로? 카이스 함께 좋은 오랜 시간이 ... <BR/>이 카이스 싶습니다 알게 될 것입니다해야 여자를 <BR/>, 미나라는 여자를 기억하십니까 뭐야. <p/>
emainmacha.subnpc.cecil.60	<title name='Greek from/>그래서 준비해야 할 것이 무엇인지 물어 보는 것이 더 나을 것입니다. 시간이 얼마 남지 않았습니까? >
emainmacha.subnpc.cecil.61	Ah? <username/>[?Male:형제/여동생], 진심으로 당신을 기쁘게합니다! 이라크는 오랫동안 함께있어, 케이가 좋아하는 것을 알아야한다. </p>나는 <username :>[? Male : 형제 자매]가 확실히 물을 수 있다고 생각한다. </ br>항상 당신을 괴롭 히고, 정말 미안합니다, 나는 당신에게 조금 이야기 할 것입니다! <p/>
emainmacha.subnpc.cecil.62	(세실은 그녀의 손을 넘어 기대와 신뢰로 나를 보았다.)
emainmacha.subnpc.cecil.63	<button title='수신자' keyword='@answer_5'/>
emainmacha.subnpc.cecil.64	<button title='拒绝' keyword='@answer_6'/>
emainmacha.subnpc.cecil.65	감사합니다. <username/>미나가 De Cornelle에 있었다고 했습니까? 돌아갈 시간이 충분하지 않습니다! <p/>
emainmacha.subnpc.cecil.66	음, 정말로 ... <username/>[? 남성 : 형제 / 여동생], 세실은 진지했습니다. <npcportrait name='cecil'/><title name='Cecil' 제발, 당신도 동의하지 않습니까, 너무 실망합니다 ... <p/>
emainmacha.subnpc.cecil.67	<title name='Mina'/>잠시 기다려주십시오. 네가 내게 오면, 코넬을 찾을 필요가 없다. <p/>
emainmacha.subnpc.cecil.68	(Ni Ha Er 부츠 미나와 함께 활발한 비뚤어진 페이스는 길고 흐르는 머리카락으로 나에게왔다.) <p/>
emainmacha.subnpc.cecil.69	<title name='미나'/><username/>, 미스 사이, 미스 세실, 이번에 두 번째로 우리를 만나 뵙겠습니다? 만나서 반가워요. 당신은 여전히 ​​미나라고 불리는 케이의 제자라는 것을 기억해야합니다. <p/>
emainmacha.subnpc.cecil.70	<npcportrait name='NONE'/><title name='NONE'/>(미나는 오른손을 정상적으로 내쪽으로 뻗어 악수를 요청합니다.)
emainmacha.subnpc.cecil.71	<button title='握手' keyword='@answer_7'/>
emainmacha.subnpc.cecil.72	<button title='just watch' keyword='@answer_8'/>
emainmacha.subnpc.cecil.73	<title name='Mina'/>나는 또한 전에 주목했다. 너는 놀 수있는 능력이 있니? 어쩌면 네가 문을 열어도 Ka'am 문 아래보다 나을지도 모른다. 전화를 겁니다. <p/>
emainmacha.subnpc.cecil.74	(미나의 손에서 부드러운 맥박이 느껴질 수 있습니다.) 미나는 내 손을 조용히 굴렸고 악수를 청하는 동일한 초대장 인 세실로 향했습니다.) <p/>
emainmacha.subnpc.cecil.75	<title name="Mina"Oh ... 무슨 에티켓이 의미하는지 모른 채 어떻게 싸우는 지 알기 때문에 그게니?
emainmacha.subnpc.cecil.76	(미나는 내 팔을 가볍게 대고 미소를 지으며 세실로 향하고 악수를 청했습니다.) <p/>
emainmacha.subnpc.cecil.77	<npcportrait name='cecil'/><title name='세실' '그럼, 우리에게 무슨 일 이니? 우리는 당신의 도움이 필요하지 않습니다. <p/>
emainmacha.subnpc.cecil.78	(세실의 무례한 손은 미나의 손을 밀어 깊게 숨을 쉬었다.) <p/>
emainmacha.subnpc.cecil.79	<npcportrait name='mina'/><title name='Mina'/>누나, 여동생이 겁에 질려 보입니다. 정말로 귀엽다. .. 전화를 P다. .. <p/><npcportrait name='mina'/><title name='Mina'/>농담 할 시간이 없으므로 나는 짧은 이야기를 짧게 만들 것이다. 세실, 너는 구운 고추 후드를 준비 할거야. Miss Xi는 자랑스럽게 돼지 고기 스테이크를 책임지고 있습니다. <p/>
emainmacha.subnpc.cecil.80	<title name='Mina' '>그리고 조리법에 따라, Cesir 미스 사촌 Snape에게 질문을 할 시간을 알 수 있습니다. 필요한 자료는 모두 <username/>에서 구입했습니다. <p/>
emainmacha.subnpc.cecil.81	정말 우스꽝 스럽군! 왜 내가 너 말 잘 들어야하지! <p/>
emainmacha.subnpc.cecil.82	<title name='Mina'/>아 ... 원하지 않는다면 할 수 없습니다. 그러나 카이로는 황새치 구이를 먹기를 좋아하는데, 먹지는 않더라도 내가 만든 떡과 대장장이가 요리 한 거만한 돼지 갈비로 대체 할 수 있습니다. <p/>
emainmacha.subnpc.cecil.83	<title name="Mina"물론 세실 미스는 카이 드에 대한 어떤 통보도 할 수 없었을 것입니다. 미스 시실 미스의 첫사랑은 끝났을 것입니다. <p/>
emainmacha.subnpc.cecil.84	무엇 ... 무슨 단어 아 아 무슨 첫사랑 아! <p/>
emainmacha.subnpc.cecil.85	(이 시점에서 빛처럼 광택이 나는 소리처럼 외쳐라.) <p/>
emainmacha.subnpc.cecil.86	<npcportrait name='yuki'/><title name='그리스어가 이해합니다. 미스 미나는 케이에게 가장 익숙한 분이시기 때문에 이번에는 명령에 따라 행동 할 것입니다. <p/>
emainmacha.subnpc.cecil.87	<npcportrait name='mina'/><title name='Mina'/>물론, 여동생이 신속하게 대응했습니다. 좋아. <username/>, 필요한 것은 기록되어 있습니다. 세실과 유키의 손에 자료를 넘겨 주시고, 자료가 필요합니다. 코넬이 직접 가져 갔어. <p/>
emainmacha.subnpc.cecil.88	<title name="Mina"글쎄, 생일 파티에 남을 시간이별로 없다는 것을 모두 알고있다. 나는 다른 것을 준비하려고한다. 하하. <p/>
emainmacha.subnpc.cecil.89	세실은 여전히 ​​얼굴이 빨개졌으며 니나 부츠의 활발한 발자취를 남긴 미나를 바라 보았다.
emainmacha.subnpc.cecil.90	
emainmacha.subnpc.cecil.91	
emainmacha.subnpc.cecil.92	
emainmacha.subnpc.cecil.93	
emainmacha.subnpc.cecil.94	
emainmacha.subnpc.cecil.95	
emainmacha.subnpc.cecil.96	
emainmacha.subnpc.cecil.97	
emainmacha.subnpc.cecil.98	
emainmacha.subnpc.cecil.99	
emainmacha.subnpc.cecil.100	오, 뭐가 문제 야? 나를 볼 수 있다면 대화를 차단하고 Bug Reaprot에 업로드하십시오.
emainmacha.subnpc.cecil.101	<username/>[? male : 형제 / 자매], 이봐, 이봐 ... <p/>
emainmacha.subnpc.cecil.102	(세실 부드러운 미소 <BR/>공개 및 I는 아암 전방 플레이트로부터 걸었다.) <p/>이 바쁜 기간에는 같은 그러한 좋은 사람 [? 남성 형제 / 자매]<BR/>정말 내 운 좋은. 나는 항상 ... [남성 : 형제 / 여동생]에게 감사한다.
emainmacha.subnpc.cecil.103	<button title='知道' keyword='@answer_1'/>
emainmacha.subnpc.cecil.104	<button title='不清楚' keyword='@answer_2'/>
emainmacha.subnpc.cecil.105	그냥 알아. 나는 또한 [Male:형제/여동생]이 나를 불운 한 나쁜 아이로 대할 것이라고 걱정한다. <p/>
emainmacha.subnpc.cecil.106	(세실은 수줍은 미소가 나를 조금 그녀의 팔과 <BR/>, 가까이 교차 노출.) <p/>는 사실, 나는 [남성 :? 형제 / 자매]생각합니다 물론도 오해를.
emainmacha.subnpc.cecil.107	아 ... 그때 [?Male:형제/여동생]은 항상 내가 내 기억을 잃어버린 나쁜 소년이라고 생각했다. <p/>
emainmacha.subnpc.cecil.108	(그녀의 큰 눈이 나를보고 내 손 <BR/>을 잡고와 세실이 자신의 그립을 강화한다.) <p/>내가 ... 미안 이해할 수있어 왜 [남성 :? 형제 / 자매]는 그렇게 생각할 것입니다.
emainmacha.subnpc.cecil.109	마지막 사건 이후 [남성 : 오빠 / 언니]에 대한 의견이 없습니다 ... <p/>무엇보다도, 케이에 대한 나의 사랑이 내 마음 속에 있습니다. 비율은 너무 커서 다른 어떤 것도 처리 할 시간이 없습니다. 최근에 [남자 : 오빠 / 언니]만이 아니었고, 심지어는에 시에 대해서도, 나는 너무 많이하고 있다고 생각했습니다. 아시다시피 <p/>, 세나의 자매 레스토랑 내 친척입니다 잘 나는 아주 자연스럽게 세나의 동생 카이스했다? <BR/><BR/>음식 준비 카이스 생일 때문에 그러나 Sane 수녀님은 매우 걱정 스럽습니다. <p/>나는 내가 모르는 사람에게 지나치게 헌신하지 않는다고 말한다. <p/>지금도 나는 키가 가득했다. 매우 그의 얼굴을보고 싶다. 나는 그가 전투 기술을 연습 할 때 호기의 소리를 듣고 싶다. 그러나 다른 한편으로는, 나는 또한 현재의 나를 매우 두려워하고있다. <p/>
emainmacha.subnpc.cecil.110	(세실은 두려운 표정으로 나를 보았다.) <p/>... [?Male:형제/여동생]나는 어떻게 생각 했는가? 나는 Kaye를 계속해서 좋아할 것이다. 아무런 문제가 없을 것이다. 그렇지?
emainmacha.subnpc.cecil.111	<button title='还好' keyword='@answer_3'/>
emainmacha.subnpc.cecil.112	<button title='매우 위험' keyword='@answer_4'/>
emainmacha.subnpc.cecil.113	(Cecil은 윙크하고 오히려 흐릿한 목소리로 대답한다.) 물론 ... 나는 [?Male:형제/여동생]이 그런 식으로 돌아올 것을 알았다.
emainmacha.subnpc.cecil.114	(Cecil은 윙크하고 목소리로 대답한다.) 나는 생각하지 못했다. [Male : 형제 / 여동생]이 대답했다. 나를 대답해라.
emainmacha.subnpc.cecil.115	나는 생각하고있다. 왜 내가 케이에게 너무 집착해서 우리가 한 마디조차도 말하지 않았다 ... <p/>
emainmacha.subnpc.cecil.116	(세실은 팔을 굴리고 어깨에 머리를 대고 계속했다.) <P class=p1>저기의 서양 식당 ... 고든 삼촌이 운영하는 식당은 실제로 아버지가 지어 주셨다. 어렸을 때 나는 신호등 옆에 앉아서 아버지의 카레 냄새를 맡으면서 발을 찔렀다. <p/>어머니는 위험하다고 생각하면서도 발을 물에 담그지 못하게 하셨지만 아버지는 웃으며 말했다. "세실은 항상 안전 할 것입니다. 어머니가 편안함을 느끼게하는이 문장은 ... 인생이 계속되었다고 얼마나 오랫동안인지 모르십니까? 사실 저는 아직도 작았을 때 명확하게 기억하지 못합니다. 하지만 고든 삼촌의 이야기를 들었습니다. <p/>아버지는 그 식당을 얼마 동안 운영하지 않았던 것 같습니다. 그는 강한 바람에 상처를 입었다 고 말했다. 즉, 폐 질환으로 고생하고 있었기 때문에 나는 고든 삼촌에게 혼자 서양식 레스토랑을 팔아야 만했다. 어린 시절의 추억 속에서 아버지는 기본적으로 침대에있다. 어머니가 무언가를 할 수 있도록 가족에게 보조금을 제공하지만 어머니가 스스로 살 수있는 여유가없는 경우 ... <p/>그러나 하루를 나가면 언제든지 기침 할 것입니다 < 10 일 동안 집에 누워 있습니다. 반복적으로, 아버지는 끊임없이 기침을 동반 하셨고 점차적으로 가늘고 얇은 ... <p/
emainmacha.subnpc.cecil.117	(세실은 눈을 문지르기를 계속했다.) 그 당시 나는 몰랐다. <BR/>사람, 원래는 얇은 피부와 뼈 ... <BR/>아버지는 미안 우리가 일시적으로 <BR/>이 순간을 브리핑 할 것이다 기침을 멈출 때마다, 그는 매우 그런 종류의 우리를 사랑 말할 수 있습니다 . </p></p><p/>아버지의 눈에서 볼 때 그는 많이 말할 수 있지만 ... 그의 아버지는 두 단어 이상을 말하지 않은 것 같습니다. .. <p/>어쩌면 이런 이유로? 나는 건강하고 강한 사람들을 항상 좋아한다. 전에 나는 또한 고든 삼촌을 좋아한다. 그가 큰 철판을 들고있는 것을 보았을 때 흔들리는 것은 깃털 살포기로 먼지를 털만큼 쉬웠으며 아주 잘 생겼습니다. <p/>나는 누나가 고든 삼촌을 원한다고 소나 누나에게 말하면서 언니가 충격을 받았다는 사실을 기억하고있다. 그녀는 또한 혐오스런 모습을 보였다. 헤이 ... <p/>
emainmacha.subnpc.cecil.118	(세실은 눈물을 깨끗이 닦고 미소 지었는지 알지 못했습니다.) 어떻게 이런 말을 할 수 있겠습니까? / 자매 너무 많은 시간을, 미안해. 그리고 항상 너를 괴롭힌다.
emainmacha.subnpc.cecil.119	<button title='不 烦' keyword='@answer_5'/>
emainmacha.subnpc.cecil.120	<button title='얻었습니다' keyword='@answer_6'/>
emainmacha.subnpc.cecil.121	정말? 이봐 ... [Male:형제/여동생]은 정말로 좋은 사람이다. <p/>
emainmacha.subnpc.cecil.122	(세실은 두 팔을 벌려 나를 단단히 붙잡고 기뻐했다.)
emainmacha.subnpc.cecil.123	咦 ... [Male:형제/여동생]은 화가났다? 미안 ... <p/>
emainmacha.subnpc.cecil.124	세실은 불행 해 보였다.
emainmacha.subnpc.cecil.125	<p/>를 확인하려면 미나, 실크, 강한 고추 맛 요리와 황새치 구이 후 필요한 <BR/>실크 황새치, 올리브 오일, 소금, 후추, 버터 이러한 자료는 말했다. 올리브 오일, 소금, 후추 및 버터가 모두 Saina 자매에게서 발견되지만, 부드러운 황새치는 잘 발견되지 않습니다. <p/>카에다의 생일은 평범한 실크 황새치와 항상 함께 사용할 수있는 것은 아니지만 상황에 따라 아주 신선한 황새치를 사용하고 싶습니다. 리사 소나 (Lisa Sona)는 카푸 (Kapu) 항구에 아주 유명한 카독 (Kadok)이라는 어부가 있었는데, 그가 판매 한 실크 세일 피시 (silk sailfish), 솔라 세계에서 가장 신선한 것, 최고의 황새치. <p/>카푸 항구로 여행 할 때 카독에서 실크 황새치를 살 수 있다면 가격이 적당합니다. 이것이 나에게 행해지는 한, 너를 나중에 괴롭히지 않을 것이다. </p><p/>아, 이것은 실크 황새치를 사기위한 돈입니다. 충분하지 않다면 돌아와서 말해주십시오. 어쨌든 고든 삼촌에게 빌린만큼 돈은 ... <p/>
emainmacha.subnpc.cecil.126	(세실은 내 손에 지갑을 가지고있다.)
emainmacha.subnpc.cecil.127	어쩌고... 저쩌고... 보아하니 요리를 할 줄 모르는데 요리는 이렇게 이렇게 하는거야... 참고로 이 책이랑 이 책 읽어봐 넌 이제 요리 F랭이다.
emainmacha.subnpc.cecil.128	기본적인 요리는 할 줄 아네?<br/>그래도 나보단 잘 하겠지
emainmacha.subnpc.cecil.129	너 요리의 신이구나?
emainmacha.subnpc.cecil.130	나 요리실력에 자신이 없어. 대신 요리해 줄래?
emainmacha.subnpc.cecil.131	<button title='요리해 준다' keyword='@answer_1'/>
emainmacha.subnpc.cecil.132	<button title='요리해 주지 않는다' keyword='@answer_2'/>
emainmacha.subnpc.cecil.133	고마워, 재료는 여기 있어. 이걸 요렇게 조렇게 만큼 배합하면 맛있데. 한번 만들어봐
emainmacha.subnpc.cecil.134	정말? 다시 한번만 생각해봐
emainmacha.subnpc.cecil.135	<button title='요리해 준다' keyword='@answer_3'/>
emainmacha.subnpc.cecil.136	<button title='역시 안되겠다' keyword='@answer_4'/>
emainmacha.subnpc.cecil.137	그래... 그럼 내가 직접 만들게.
emainmacha.subnpc.cecil.138	어디... 음식을 보여줘<br/>어디 볼까?<br/><selectitem stringid='(*/fighter_story/*)'/><button title='그만 둔다' keyword='@cancel'/>
emainmacha.subnpc.cecil.139	세실 : 난 격투기 배우고 싶어<br/>유키 : 뭐? 그런건 뭐하러...<br/>미나 : 흥 어린애 주제에 우선 기초부터 배워라<br/>카이 : 끄덕끄덕<p/>세실 : 기초 배워야 할까? 나도 좀 쎈데 배울까 말까?
emainmacha.subnpc.cecil.140	<button title='배워라' keyword='@answer_1'/>
emainmacha.subnpc.cecil.141	<button title='안배워도 된다' keyword='@answer_2'/>
emainmacha.subnpc.cecil.142	세실 : 이제 본격적으로 격투술 가르쳐줘!<br/>유키 : 호신술 정도는 알아도 나쁘지 않겠지.<br/>미나 : 금새 포기할걸? 홍홍홍<br/>카이 : 끄덕끄덕
emainmacha.subnpc.cecil.143	<button title='싸우자' keyword='@answer_1'/>
emainmacha.subnpc.cecil.144	<button title='나중에' keyword='@answer_2'/>
emainmacha.subnpc.cecil.145	세실 : 특훈이다! 도와줘
emainmacha.subnpc.cecil.146	<button title='그래' keyword='@answer_1'/>
emainmacha.subnpc.cecil.147	<button title='나중에' keyword='@answer_2'/>
emainmacha.subnpc.cecil.148	유키 : 카이가 납치 되었어요 언니<br/>세실 : 넌 카이를 안지켜주고 뭐한거임?<br/>미나 : NOOOO~~~
emainmacha.subnpc.cecil.149	<button title='입장' keyword='@msg1_1'/>
emainmacha.subnpc.cecil.150	<button title='나중에' keyword='@msg1_2'/>
emainmacha.subnpc.cecil.151	그래 나중에...
emainmacha.subnpc.cecil.152	난 카이가... 어쩌고 저쩌고 좋아.<br/>그런데 키도작고 어리고... 난 자존감 하여튼 낮음
emainmacha.subnpc.cecil.153	<button title='칭찬' keyword='@answer_1'/>
emainmacha.subnpc.cecil.154	<button title='질시' keyword='@answer_2'/>
emainmacha.subnpc.cecil.155	음 실망이야...
